scenario_id,description,location,utility_budget,appliance_age_type,housing_type,occupants,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,kwh_per_cycle,peak_rate,offpeak_rate,appliance,mavt_score,rank
5,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Erie, PA",175,10,Townhouse,2,5:00 PM,7.53,8.08,10,10,1.25,0.19,0.08,dishwasher,8.587,1
5,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Erie, PA",175,10,Townhouse,2,11:00 PM,9.09,8.08,4.71,3.15,1.25,0.19,0.08,dishwasher,6.9695,2
5,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Erie, PA",175,10,Townhouse,2,4:00 PM,7.53,8.08,2.86,3.83,1.25,0.19,0.08,dishwasher,6.2335,3
6,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Scranton, PA",150,7,Apartment,2,8:00 PM,9.09,8.08,10,10,1.25,0.17,0.08,dishwasher,9.055,1
6,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Scranton, PA",150,7,Apartment,2,3:00 PM,7.81,8.08,2.86,3.83,1.25,0.17,0.08,dishwasher,6.3175,3
6,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Scranton, PA",150,7,Apartment,2,4:00 PM,7.81,8.08,2.86,3.83,1.25,0.17,0.08,dishwasher,6.3175,2
7,I just finished dinner around 8 PM. When should I run my dishwasher?,"Bethlehem, PA",150,2,Townhouse,4,8:00 PM,8.64,7.56,10,10,1.55,0.17,0.09,dishwasher,8.738,1
7,I just finished dinner around 8 PM. When should I run my dishwasher?,"Bethlehem, PA",150,2,Townhouse,4,4:00 PM,7.23,7.56,1.04,3.83,1.55,0.17,0.09,dishwasher,5.5975,2
7,I just finished dinner around 8 PM. When should I run my dishwasher?,"Bethlehem, PA",150,2,Townhouse,4,5:00 PM,7.23,7.56,0.94,3.83,1.55,0.17,0.09,dishwasher,5.5775,3
8,Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Reading, PA",120,10,Townhouse,4,2:00 PM,7.23,7.56,10,10,1.55,0.17,0.09,dishwasher,8.315,1
8,Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Reading, PA",120,10,Townhouse,4,3:00 PM,7.23,7.56,8.56,8.2,1.55,0.17,0.09,dishwasher,7.757,2
8,Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Reading, PA",120,10,Townhouse,4,7:00 PM,8.64,7.56,6.71,4.05,1.55,0.17,0.09,dishwasher,7.1875,3
9,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"York, PA",200,7,Townhouse,4,2:00 PM,7.36,7.82,10,10,1.4,0.18,0.08,dishwasher,8.445,1
9,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"York, PA",200,7,Townhouse,4,3:00 PM,7.36,7.82,8.56,8.2,1.4,0.18,0.08,dishwasher,7.887,2
9,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"York, PA",200,7,Townhouse,4,11:00 PM,8.95,7.82,1.53,0,1.4,0.18,0.08,dishwasher,5.728,3
10,Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Philadelphia, PA",175,6,Townhouse,3,2:00 PM,7.36,7.82,10,10,1.4,0.18,0.09,dishwasher,8.445,1
10,Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Philadelphia, PA",175,6,Townhouse,3,10:00 PM,8.8,7.82,1.62,2.39,1.4,0.18,0.09,dishwasher,6.0595,3
10,Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Philadelphia, PA",175,6,Townhouse,3,9:00 PM,8.8,7.82,6.6,3.88,1.4,0.18,0.09,dishwasher,7.279,2
11,When should I do dishes today?,"Williamsport, PA",265,2,Single-family,4,8:00 PM,9.23,8.55,10,10,0.98,0.17,0.09,dishwasher,9.2615,1
11,When should I do dishes today?,"Williamsport, PA",265,2,Single-family,4,11:00 PM,9.23,8.55,7.18,5.45,0.98,0.17,0.09,dishwasher,8.015,2
11,When should I do dishes today?,"Williamsport, PA",265,2,Single-family,4,2:00 AM,9.23,8.55,5.13,1.03,0.98,0.17,0.09,dishwasher,6.942,3
12,When should I do dishes today?,"McKeesport, PA",340,10,Apartment,2,7:00 PM,8.64,7.56,5.13,3.83,1.55,0.18,0.09,dishwasher,6.8385,1
12,When should I do dishes today?,"McKeesport, PA",340,10,Apartment,2,10:00 PM,8.64,7.56,0,0,1.55,0.18,0.09,dishwasher,5.238,3
12,When should I do dishes today?,"McKeesport, PA",340,10,Apartment,2,12:00 AM,8.64,7.56,0,0,1.55,0.18,0.09,dishwasher,5.238,2
13,When should I do laundry today?,"Altoona, PA",210,2,Apartment,2,7:00 AM,10,9.86,2.86,3.83,0.22,0.17,0.08,washer,7.5975,3
13,When should I do laundry today?,"Altoona, PA",210,2,Apartment,2,10:00 AM,10,9.86,8.6,8.26,0.22,0.17,0.08,washer,9.41,1
13,When should I do laundry today?,"Altoona, PA",210,2,Apartment,2,1:00 PM,10,9.86,7,4.48,0.22,0.17,0.08,washer,8.523,2
14,When should I do laundry today?,"Chester, PA",295,6,Townhouse,4,8:00 AM,9.84,9.58,8.56,8.2,0.38,0.18,0.09,washer,9.247,1
14,When should I do laundry today?,"Chester, PA",295,6,Townhouse,4,11:00 AM,9.84,9.58,6.77,6.49,0.38,0.18,0.09,washer,8.6325,2
14,When should I do laundry today?,"Chester, PA",295,6,Townhouse,4,3:00 PM,9.45,9.58,4.57,3.83,0.38,0.18,0.09,washer,7.6765,3
15,When should I do laundry today?,"Easton, PA",175,10,Single-family,3,7:00 AM,9.77,9.46,0.74,3.83,0.45,0.17,0.09,washer,6.9645,3
15,When should I do laundry today?,"Easton, PA",175,10,Single-family,3,10:00 AM,9.77,9.46,8.51,8.13,0.45,0.17,0.09,washer,9.1635,1
15,When should I do laundry today?,"Easton, PA",175,10,Single-family,3,2:00 PM,9.36,9.46,6.65,3.97,0.45,0.17,0.09,washer,8.0445,2
16,When should I do laundry today?,"Lebanon, PA",385,2,Single-family,5,8:00 AM,9.94,9.76,0,3.83,0.28,0.18,0.09,washer,6.9725,3
16,When should I do laundry today?,"Lebanon, PA",385,2,Single-family,5,12:00 PM,9.94,9.76,8.32,6.37,0.28,0.18,0.09,washer,9.0175,1
16,When should I do laundry today?,"Lebanon, PA",385,2,Single-family,5,4:00 PM,9.65,9.76,6.22,3.83,0.28,0.18,0.09,washer,8.1295,2
17,When should I run my dryer after washing clothes?,"Johnstown, PA",260,6,Townhouse,3,9:00 AM,7.36,5.41,0.74,3.83,2.8,0.17,0.09,dryer,4.824,3
17,When should I run my dryer after washing clothes?,"Johnstown, PA",260,6,Townhouse,3,12:00 PM,7.36,5.41,8.51,8.13,2.8,0.17,0.09,dryer,7.023,1
17,When should I run my dryer after washing clothes?,"Johnstown, PA",260,6,Townhouse,3,4:00 PM,4.82,5.41,6.65,3.97,2.8,0.17,0.09,dryer,5.265,2
18,When should I run my dryer after washing clothes?,"Hazleton, PA",320,2,Single-family,4,9:00 AM,9,8.17,10,10,1.2,0.18,0.09,dryer,9.0595,1
18,When should I run my dryer after washing clothes?,"Hazleton, PA",320,2,Single-family,4,1:00 PM,9,8.17,6.77,6.49,1.2,0.18,0.09,dryer,7.887,2
18,When should I run my dryer after washing clothes?,"Hazleton, PA",320,2,Single-family,4,5:00 PM,7.77,8.17,4.57,3.83,1.2,0.18,0.09,dryer,6.679,3
19,When should I run my dryer after washing clothes?,"Scranton, PA",195,10,Apartment,2,9:00 AM,7.05,4.2,10,10,3.5,0.17,0.08,dryer,7.085,1
19,When should I run my dryer after washing clothes?,"Scranton, PA",195,10,Apartment,2,12:00 PM,7.05,4.2,8.6,6.77,3.5,0.17,0.08,dryer,6.3205,2
19,When should I run my dryer after washing clothes?,"Scranton, PA",195,10,Apartment,2,3:00 PM,3.47,4.2,7,4.48,3.5,0.17,0.08,dryer,4.583,3
