Decision Type,Question,Location,Square Footage,Insulation,Household Size,Utility Budget,Housing Type,Outdoor Temp,House Age,Appliance Age,Flow rate,Alternative 1,Alternative 2,Alternative 3
HVAC,I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",2050,Medium,3,$270 ,Single-family,21,35-45,,,66,69,72
HVAC,"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",2200,Poor,4,$180 ,Single-family,98,22-28,,,78,80,82
HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",2000,Medium,3,$250 ,Condo,92,30-40,,,76,78,80
HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",2400,Poor,5,$150 ,Single-family,97, 1-5,,,79,81,83
HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Butler, PA",2500,Good,4,$600 ,Single-family,88,15-25,,,72,75,78
HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"Coatesville, PA",1850,Medium,3,$200 ,Townhouse,91,45-65,,,77,79,81
HVAC,It's a hot day. What should I set my air conditioning to?,"Uniontown, PA",2100,Poor,4,$280 ,Single-family,95,50-70,,,78,80,82
HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Indiana, PA",1900,Medium,3,$250 ,Apartment,18, 1-3,,,65,68,71
HVAC,It's a hot day. What should I set my air conditioning to?,"Meadville, PA",2200,Good,4,$400 ,Single-family,90,40-50,,,73,76,79
HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Greensburg, PA",1800,Poor,2,$170 ,Single-family,93,15-22,,,79,81,83
HVAC,It's a hot day. What should I set my air conditioning to?,"DuBois, PA",1950,Medium,3,$260 ,Single-family,89, 25-35,,,76,77,78
HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"Oil City, PA",2100,Good,4,$320 ,Townhouse,91,15-22,,,82,76,70
HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Reading, PA",2000,Medium,3,$290 ,Single-family,20,25-35,,,65,72,79
HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Carlisle, PA",2000,Poor,3,$300 ,Single-family,102,33-43,,,78,80,82
HVAC,Cold day today with 4 people home. What's a good heating temperature?,"Chambersburg, PA",2200,Poor,4,$280 ,Single-family,5, 10-15,,,66,69,72
HVAC,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",1800,Medium,2,$220 ,Condo,60,12,,,68,70,72
Appliance,I need to dry clothes this afternoon (around 2 PM). When should I start?,"York, PA",,,2,150,Apartment,,,0 to 10,,Dry at 2:00 PM,Dry at 2:00 AM,Dry at 9:00 PM
Appliance,Dinner's done around 7 PM. What's the best time to run the dishwasher?,"Lancaster, PA",,,3,150,Single-family,,,0 to 9,,Run dishwasher at 7:00 PM,Run dishwasher at 5:00 PM,Run dishwasher at 4:00 PM
Appliance,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Pittsburgh, PA",,,4,120,Single-family,,,1 to 11,,Run dishwasher at 8:00 PM,Run dishwasher at 5:00 PM,Run dishwasher at 1:00 AM
Appliance,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",,,3,120,Apartment,,,5 to 11,,Run dishwasher at 2:00 PM,Run dishwasher at 10:00 PM,Run dishwasher at 1:00 AM
Appliance,The dishwasher is full (around 1 AM). Should I run it now or delay it?,"Allentown, PA",,,4,120,Townhouse,,,0 to 9,,Run dishwasher at 1:00 AM,Run dishwasher at 3:00 PM,Run dishwasher at 11:00 PM
Appliance,I'm finally getting to laundry (around 1 AM). When should I start the washer?,"Philadelphia, PA",,,3,120,Apartment,,,1 to 11,,Wash at 1:00 AM,Wash at 7:00 PM,Wash at 3:00 PM
Appliance,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Lancaster, PA",,,5,150,Townhouse,,,3 to 13,,Wash at 5:00 PM,Wash at 2:00 PM,Wash at 10:00 PM
Appliance,Planning to run the washing machine around 11 PM. Is that okay or should I wait?,"Pittsburgh, PA",,,5,175,Single-family,,,1 to 11,,Wash at 11:00 PM,Wash at 3:00 PM,Wash at 5:00 PM
Appliance,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Harrisburg, PA",,,3,120,Apartment,,,0 to 9,,Wash at 5:00 PM,Wash at 2:00 PM,Wash at 9:00 PM
Appliance,Thinking of washing clothes around 4 PM. Good timing?,"Allentown, PA",,,3,120,Single-family,,,3 to 13,,Wash at 4:00 PM,Wash at 1:00 AM,Wash at 10:00 PM
Appliance,I have time to do laundry this afternoon (around 4 PM). When should I start?,"Erie, PA",,,4,175,Apartment,,,4 to 10,,Wash at 4:00 PM,Wash at 12:00 PM,Wash at 9:00 PM
Appliance,Thinking of washing clothes around 5 PM. Good timing?,"Scranton, PA",,,2,120,Townhouse,,,1 to 3,,Wash at 5:00 PM,Wash at 1:00 AM,Wash at 7:00 PM
Appliance,It's late (around 7 PM) but I need to wash clothes. Should I do it now?,"Bethlehem, PA",,,3,175,Single-family,,,2 to 22,,Wash at 7:00 PM,Wash at 2:00 PM,Wash at 1:00 AM
Appliance,I want to run a load of laundry around 5 PM. When's the best time?,"Reading, PA",,,5,175,Townhouse,,,2 to 12,,Wash at 5:00 PM,Wash at 10:00 PM,Wash at 1:00 AM
Appliance,Planning to run the washing machine around 9 PM. Is that okay or should I wait?,"York, PA",,,3,150,Townhouse,,,0 to 8,,Wash at 9:00 PM,Wash at 12:00 AM,Wash at 2:00 PM
Appliance,My laundry is ready to dry (around 2 PM). Should I run the dryer now or wait?,"Philadelphia, PA",,,4,175,Apartment,,,0 to 7,,Dry at 2:00 PM,Dry at 9:00 PM,Dry at 5:00 PM
Appliance,Planning to run the dryer around 2 PM. Is that a good time?,"Lancaster, PA",,,4,200,Apartment,,,2 to 12,,Dry at 2:00 PM,Dry at 12:00 AM,Dry at 11:00 PM
Appliance,I'm ready to dry clothes (around 1 AM). When should I start the dryer?,"Pittsburgh, PA",,,4,175,Townhouse,,,2 to 22,,Dry at 1:00 AM,Dry at 2:00 PM,Dry at 8:00 PM
Appliance,I'm ready to dry clothes (around 8 PM). When should I start the dryer?,"Harrisburg, PA",,,3,200,Townhouse,,,1 to 3,,Dry at 8:00 PM,Dry at 10:00 AM,Dry at 4:00 PM
Appliance,Planning to run the dryer around 1 AM. Is that the best time?,"Allentown, PA",,,3,200,Townhouse,,,0 to 6,,Dry at 1:00 AM,Dry at 9:00 PM,Dry at 4:00 PM
Appliance,It's late (around midnight) and I need to dry laundry. Should I start now or delay?,"Erie, PA",,,4,150,Apartment,,,0 to 6,,Dry at 12:00 AM,Dry at 7:00 PM,Dry at 3:00 PM
Appliance,I'm ready to dry clothes (around midnight). When should I start the dryer?,"Scranton, PA",,,2,200,Townhouse,,,3 to 13,,Dry at 12:00 AM,Dry at 10:00 PM,Dry at 4:00 PM
Appliance,My laundry is ready to dry (around 4 PM). Should I run the dryer now or wait?,"Bethlehem, PA",,,2,175,Single-family,,,2 to 22,,Dry at 4:00 PM,Dry at 10:00 PM,Dry at 6:00 AM
Appliance,Planning to run the dryer around 3 PM. Is that a good time?,"Reading, PA",,,2,200,Townhouse,,,5 to 25,,Dry at 3:00 PM,Dry at 11:00 PM,Dry at 1:00 AM
Appliance,When should I do dishes today?,"York, PA",,,2,150,Apartment,,,0 to 10,,Run dishwasher at 7:00 PM,Run dishwasher at 10:00 PM,Run dishwasher at 1:00 AM
Shower,What's the ideal shower length?,"Erie, PA",,,4,240,Single-family,28,,,standard,6,9,12
Shower,What's the ideal shower length?,"Scranton, PA",,,2,205,Rowhouse,32,,,standard,5,7,10
Shower,What's the ideal shower length?,"Bethlehem, PA",,,3,260,Townhouse,60,,,low_flow,5,10,15
Shower,How long should my showers be?,"Reading, PA",,,5,195,Single-family,82,,,standard,5,8,12
Shower,How long should my showers be?,"York, PA",,,2,230,Condo,48,,,standard,5,10,15
Shower,How long should my showers be?,"West Chester, PA",,,3,340,Single-family,58,,,low_flow,5,7,10
Shower,How long should my showers be?,"State College, PA",,,4,270,Single-family,30,,,standard,6,10,15
Shower,How long should my showers be?,"Doylestown, PA",,,3,290,Single-family,85,,,standard,6,9,12
Shower,What's the ideal shower length?,"Media, PA",,,2,210,Twin,52,,,low_flow,5,8,12
Shower,What's the ideal shower length?,"Norristown, PA",,,4,235,Apartment,35,,,standard,6,10,15
Shower,What's the ideal shower length?,"King of Prussia, PA",,,3,360,Townhouse,62,,,standard,6,9,12
Shower,How long should my showers be?,"Pottstown, PA",,,2,200,Single-family,78,,,standard,5,8,12
Shower,What's the ideal shower length?,"Exton, PA",,,4,320,Single-family,55,,,standard,6,9,12
Shower,What's the ideal shower length?,"Newtown, PA",,,3,350,Single-family,33,,,standard,5,7,10
Shower,What's the ideal shower length?,"Wilkes-Barre, PA",,,2,225,Single-family,58,,,low_flow,2,16,29
