Scenario_ID,Alternative_ID,Decision_Type,Alternative_Description,Practicality,Comfort,Environmental_Impact,Energy_Cost
68,1,Appliance,Wash at 11:00 PM,8.6,6.4,5.5,7.6
68,2,Appliance,Wash at 3:00 PM,4.1,4.1,3.1,4.2
68,3,Appliance,Wash at 5:00 PM,5.4,4.5,2.5,2.8
69,1,Appliance,Wash at 5:00 PM,9.1,6.8,2.8,4.0
69,2,Appliance,Wash at 2:00 PM,6.0,5.3,2.6,4.4
69,3,Appliance,Wash at 9:00 PM,6.4,5.4,4.6,5.6
70,1,Appliance,Wash at 4:00 PM,7.7,6.3,1.7,4.6
70,2,Appliance,Wash at 1:00 AM,3.7,1.9,6.4,8.2
70,3,Appliance,Wash at 10:00 PM,5.3,5.3,6.9,8.5
71,1,Appliance,Wash at 4:00 PM,8.3,6.4,3.5,4.1
71,2,Appliance,Wash at 12:00 PM,7.1,5.3,5.4,4.0
71,3,Appliance,Wash at 9:00 PM,5.8,4.9,4.8,6.3
72,1,Appliance,Wash at 5:00 PM,8.8,9.6,3.2,3.6
72,2,Appliance,Wash at 1:00 AM,2.5,4.1,5.8,7.6
72,3,Appliance,Wash at 7:00 PM,7.5,5.3,3.1,6.1
73,1,Appliance,Wash at 7:00 PM,8.8,7.2,3.5,6.1
73,2,Appliance,Wash at 2:00 PM,6.1,4.2,3.1,3.5
73,3,Appliance,Wash at 1:00 AM,4.8,3.4,6.2,7.4
74,1,Appliance,Wash at 5:00 PM,8.8,6.3,3.2,2.9
74,2,Appliance,Wash at 10:00 PM,5.6,3.5,6.4,8.5
74,3,Appliance,Wash at 1:00 AM,2.3,2.3,7.2,8.3
75,1,Appliance,Wash at 9:00 PM,8.6,6.1,5.6,5.2
75,2,Appliance,Wash at 12:00 AM,5.1,3.9,5.8,8.0
75,3,Appliance,Wash at 2:00 PM,4.8,4.3,2.8,3.7
76,1,Appliance,Dry at 2:00 PM,7.9,7.2,2.4,1.7
76,2,Appliance,Dry at 9:00 PM,4.5,4.5,4.1,5.7
76,3,Appliance,Dry at 5:00 PM,6.5,5.7,3.0,4.0
77,1,Appliance,Dry at 2:00 PM,8.9,6.9,2.3,4.0
77,2,Appliance,Dry at 12:00 AM,1.5,1.9,8.1,8.3
77,3,Appliance,Dry at 11:00 PM,3.0,4.5,6.6,7.6
78,1,Appliance,Dry at 1:00 AM,6.9,4.9,5.3,8.0
78,2,Appliance,Dry at 2:00 PM,2.4,2.5,2.1,4.1
78,3,Appliance,Dry at 8:00 PM,6.4,4.9,3.9,5.2
79,1,Appliance,Dry at 8:00 PM,7.3,6.4,4.9,5.6
79,2,Appliance,Dry at 10:00 AM,3.8,2.9,2.1,4.1
79,3,Appliance,Dry at 4:00 PM,7.1,4.8,2.6,3.9
80,1,Appliance,Dry at 1:00 AM,6.7,5.8,5.8,8.0
80,2,Appliance,Dry at 9:00 PM,6.7,4.9,3.9,5.6
80,3,Appliance,Dry at 4:00 PM,3.6,3.4,3.3,3.1
81,1,Appliance,Dry at 12:00 AM,1.4,2.4,6.2,8.2
81,2,Appliance,Dry at 7:00 PM,6.5,4.4,5.0,5.5
81,3,Appliance,Dry at 3:00 PM,8.2,6.6,2.7,4.0
82,1,Appliance,Dry at 12:00 AM,1.4,2.0,6.0,8.0
82,2,Appliance,Dry at 10:00 PM,4.5,3.5,6.4,7.8
82,3,Appliance,Dry at 4:00 PM,7.0,6.1,2.5,3.5
83,1,Appliance,Dry at 4:00 PM,8.2,6.9,3.1,3.1
83,2,Appliance,Dry at 10:00 PM,5.7,4.6,8.7,8.4
83,3,Appliance,Dry at 6:00 AM,3.7,3.5,5.0,6.1
84,1,Appliance,Dry at 3:00 PM,8.4,6.2,3.4,4.5
84,2,Appliance,Dry at 11:00 PM,5.1,4.1,5.6,8.6
84,3,Appliance,Dry at 1:00 AM,2.3,1.8,6.5,8.3
85,1,Appliance,Run dishwasher at 7:00 PM,5.7,4.1,3.9,5.3
85,2,Appliance,Run dishwasher at 10:00 PM,4.4,4.5,6.4,8.1
85,3,Appliance,Run dishwasher at 1:00 AM,1.5,2.0,5.8,7.4
86,1,Shower,6,8.6,7.3,4.4,5.6
86,2,Shower,9,6.9,8.2,3.4,4.7
86,3,Shower,12,6.4,8.4,2.4,4.1
87,1,Shower,5,6.9,5.2,5.7,5.5
87,2,Shower,7,7.6,6.7,4.9,5.8
87,3,Shower,10,3.9,8.3,3.1,4.7
88,1,Shower,5,6.3,5.0,6.3,7.0
88,2,Shower,10,6.4,8.4,4.4,5.5
88,3,Shower,15,3.6,8.2,2.7,3.1
89,1,Shower,5,6.3,5.1,5.3,6.4
89,2,Shower,8,8.5,7.4,4.2,5.4
89,3,Shower,12,6.2,8.6,3.3,4.0
90,1,Shower,5,6.8,4.8,5.5,6.7
90,2,Shower,10,6.2,8.3,3.3,3.9
90,3,Shower,15,4.8,8.7,1.0,2.8
91,1,Shower,5,6.7,5.2,7.9,7.9
91,2,Shower,7,7.6,7.8,5.7,6.3
91,3,Shower,10,7.0,8.7,4.4,5.4
92,1,Shower,6,8.4,7.6,4.8,6.4
92,2,Shower,10,6.4,7.8,3.4,4.0
92,3,Shower,15,3.8,9.1,0.6,2.4
93,1,Shower,6,8.0,6.8,6.1,5.3
93,2,Shower,9,6.5,8.6,4.3,5.2
93,3,Shower,12,7.2,8.3,2.2,3.9
94,1,Shower,5,6.7,5.3,6.7,7.9
94,2,Shower,8,8.0,6.9,5.6,5.7
94,3,Shower,12,6.8,8.2,3.6,4.1
95,1,Shower,6,7.6,7.8,5.0,6.4
95,2,Shower,10,7.1,8.4,2.9,4.9
95,3,Shower,15,4.2,9.2,1.5,2.3
96,1,Shower,6,8.0,6.7,5.7,6.2
96,2,Shower,9,6.8,7.6,3.8,5.5
96,3,Shower,12,7.7,7.7,2.9,3.8
97,1,Shower,5,5.7,4.9,5.6,5.9
97,2,Shower,8,7.5,7.1,3.6,4.8
97,3,Shower,12,6.0,8.2,3.2,3.4
98,1,Shower,6,7.3,7.4,6.6,5.7
98,2,Shower,9,6.3,8.5,3.9,5.1
98,3,Shower,12,6.5,7.9,2.4,3.4
99,1,Shower,5,6.7,5.8,6.2,6.9
99,2,Shower,7,8.4,7.3,4.7,5.6
99,3,Shower,10,6.9,8.1,3.2,4.3
100,1,Shower,2,6.1,0.3,5.7,4.8
100,2,Shower,16,7.5,9.1,3.4,2.4
100,3,Shower,29,2.0,10.0,0.0,5.0
