scenario_id,question,location,outdoor_temp,electricity_rate,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,raw_kwh,raw_cost,raw_emissions
18,What temperature should I set my AC to today?,"Media, PA",87,0.14,75,8.82,8.8,9.32,9.41,5.75,0.81,3.78
18,What temperature should I set my AC to today?,"Media, PA",87,0.14,78,9.03,9.02,8.6,10,5.32,0.74,3.5
18,What temperature should I set my AC to today?,"Media, PA",87,0.14,81,9.25,9.23,5.13,10,4.88,0.68,3.21
19,What temperature should I set my heat to today?,"Media, PA",23,0.14,67,8.71,8.69,6.11,6.47,5.97,0.84,3.92
19,What temperature should I set my heat to today?,"Media, PA",23,0.14,70,8.49,8.47,10,6.47,6.42,0.9,4.22
19,What temperature should I set my heat to today?,"Media, PA",23,0.14,73,8.27,8.24,7.83,6.47,6.87,0.96,4.52
20,What temperature should I set my AC to today?,"Allentown, PA",90,0.14,76,8.66,8.64,10,9.41,6.08,0.85,4
20,What temperature should I set my AC to today?,"Allentown, PA",90,0.14,79,8.87,8.86,7.83,9.41,5.64,0.79,3.71
20,What temperature should I set my AC to today?,"Allentown, PA",90,0.14,82,9.09,9.07,4.06,10,5.2,0.73,3.42
21,What temperature should I set my heat to today?,"Allentown, PA",21,0.14,66,8.55,8.53,5.13,6.47,6.31,0.88,4.15
21,What temperature should I set my heat to today?,"Allentown, PA",21,0.14,69,8.32,8.3,9.32,6.47,6.77,0.95,4.45
21,What temperature should I set my heat to today?,"Allentown, PA",21,0.14,72,8.09,8.07,8.6,6.47,7.23,1.01,4.75
22,What temperature should I set my AC to today?,"Harrisburg, PA",94,0.14,76,7.62,7.6,10,9.41,8.18,1.15,5.38
22,What temperature should I set my AC to today?,"Harrisburg, PA",94,0.14,79,7.92,7.9,7.34,9.41,7.57,1.06,4.98
22,What temperature should I set my AC to today?,"Harrisburg, PA",94,0.14,82,8.22,8.2,2.61,9.41,6.96,0.97,4.57
23,What temperature should I set my heat to today?,"Harrisburg, PA",17,0.14,66,6.78,6.75,4.28,6.47,9.88,1.38,6.5
23,What temperature should I set my heat to today?,"Harrisburg, PA",17,0.14,69,6.47,6.44,9.18,6.47,10.52,1.47,6.92
23,What temperature should I set my heat to today?,"Harrisburg, PA",17,0.14,72,6.15,6.12,8.3,6.47,11.16,1.56,7.34
24,What temperature should I set my AC to today?,"Blue Bell, PA",88,0.14,73,8.31,8.28,7.59,9.41,6.79,0.95,4.47
24,What temperature should I set my AC to today?,"Blue Bell, PA",88,0.14,76,8.5,8.47,10,9.41,6.41,0.9,4.21
24,What temperature should I set my AC to today?,"Blue Bell, PA",88,0.14,79,8.69,8.66,7.59,10,6.02,0.84,3.96
25,What temperature should I set my heat to today?,"Blue Bell, PA",22,0.14,68,8.88,8.86,8.46,6.47,5.63,0.79,3.7
25,What temperature should I set my heat to today?,"Blue Bell, PA",22,0.14,71,8.68,8.66,9.25,6.47,6.03,0.84,3.96
25,What temperature should I set my heat to today?,"Blue Bell, PA",22,0.14,74,8.49,8.46,6.65,6.47,6.43,0.9,4.23
26,What temperature should I set my AC to today?,"York, PA",92,0.14,78,9.25,9.24,8.6,9.41,4.87,0.68,3.2
26,What temperature should I set my AC to today?,"York, PA",92,0.14,81,9.44,9.43,5.13,9.41,4.49,0.63,2.95
26,What temperature should I set my AC to today?,"York, PA",92,0.14,84,9.63,9.62,1.53,7.65,4.1,0.57,2.7
27,What temperature should I set my heat to today?,"York, PA",20,0.14,65,8.97,8.95,4.06,6.47,5.45,0.76,3.58
27,What temperature should I set my heat to today?,"York, PA",20,0.14,68,8.77,8.75,8.6,6.47,5.85,0.82,3.84
27,What temperature should I set my heat to today?,"York, PA",20,0.14,71,8.57,8.55,9.32,6.47,6.25,0.87,4.11
28,What temperature should I set my AC to today?,"Phoenixville, PA",89,0.14,76,8.59,8.57,10,9.41,6.22,0.87,4.09
28,What temperature should I set my AC to today?,"Phoenixville, PA",89,0.14,79,8.82,8.8,7.83,9.41,5.75,0.81,3.78
28,What temperature should I set my AC to today?,"Phoenixville, PA",89,0.14,82,9.05,9.03,4.06,10,5.29,0.74,3.47
29,What temperature should I set my heat to today?,"Phoenixville, PA",24,0.14,66,8.61,8.59,5.13,6.47,6.18,0.87,4.07
29,What temperature should I set my heat to today?,"Phoenixville, PA",24,0.14,69,8.37,8.35,9.32,6.47,6.67,0.93,4.38
29,What temperature should I set my heat to today?,"Phoenixville, PA",24,0.14,72,8.13,8.1,8.6,6.47,7.15,1,4.7
30,What temperature should I set my AC to today?,"Scranton, PA",84,0.14,75,9.16,9.14,9.32,10,5.07,0.71,3.33
30,What temperature should I set my AC to today?,"Scranton, PA",84,0.14,78,9.36,9.35,8.6,10,4.65,0.65,3.06
30,What temperature should I set my AC to today?,"Scranton, PA",84,0.14,81,9.57,9.55,6.11,10,4.24,0.59,2.78
31,What temperature should I set my heat to today?,"Scranton, PA",16,0.14,66,8.41,8.38,5.13,6.47,6.59,0.92,4.33
31,What temperature should I set my heat to today?,"Scranton, PA",16,0.14,69,8.19,8.17,9.32,6.47,7.02,0.98,4.62
31,What temperature should I set my heat to today?,"Scranton, PA",16,0.14,72,7.98,7.96,8.6,6.47,7.45,1.04,4.9
32,What temperature should I set my AC to today?,"Norristown, PA",91,0.14,78,9.37,9.35,8.6,9.41,4.64,0.65,3.05
32,What temperature should I set my AC to today?,"Norristown, PA",91,0.14,81,9.55,9.53,5.13,9.41,4.27,0.6,2.81
32,What temperature should I set my AC to today?,"Norristown, PA",91,0.14,84,9.73,9.71,1.53,7.65,3.91,0.55,2.57
33,What temperature should I set my heat to today?,"Norristown, PA",19,0.14,65,9.11,9.09,4.06,6.47,5.17,0.72,3.4
33,What temperature should I set my heat to today?,"Norristown, PA",19,0.14,68,8.92,8.9,8.6,6.47,5.55,0.78,3.65
33,What temperature should I set my heat to today?,"Norristown, PA",19,0.14,71,8.73,8.71,9.32,6.47,5.93,0.83,3.9
34,What temperature should I set my AC to today?,"Lower Merion, PA",90,0.14,71,6.95,6.92,4.61,9.41,9.54,1.34,6.27
34,What temperature should I set my AC to today?,"Lower Merion, PA",90,0.14,75,7.28,7.26,9.25,9.41,8.87,1.24,5.83
34,What temperature should I set my AC to today?,"Lower Merion, PA",90,0.14,79,7.62,7.59,7.59,9.41,8.19,1.15,5.39
35,What temperature should I set my heat to today?,"Lower Merion, PA",23,0.14,68,8.08,8.06,8.46,6.47,7.25,1.02,4.77
35,What temperature should I set my heat to today?,"Lower Merion, PA",23,0.14,71,7.82,7.8,9.25,6.47,7.78,1.09,5.11
35,What temperature should I set my heat to today?,"Lower Merion, PA",23,0.14,74,7.56,7.53,6.65,6.47,8.3,1.16,5.46
36,What temperature should I set my AC to today?,"King of Prussia, PA",93,0.14,75,7.38,7.35,9.18,9.41,8.68,1.22,5.71
36,What temperature should I set my AC to today?,"King of Prussia, PA",93,0.14,78,7.66,7.64,8.3,9.41,8.1,1.13,5.32
36,What temperature should I set my AC to today?,"King of Prussia, PA",93,0.14,81,7.95,7.92,4.06,9.41,7.52,1.05,4.94
37,What temperature should I set my heat to today?,"King of Prussia, PA",18,0.14,66,7.21,7.18,4.28,6.47,9.02,1.26,5.93
37,What temperature should I set my heat to today?,"King of Prussia, PA",18,0.14,69,6.91,6.88,9.18,6.47,9.63,1.35,6.33
37,What temperature should I set my heat to today?,"King of Prussia, PA",18,0.14,72,6.61,6.58,8.3,6.47,10.23,1.43,6.73
38,What temperature should I set my AC to today?,"Pottstown, PA",88,0.14,76,8.43,8.41,10,9.41,6.54,0.92,4.3
38,What temperature should I set my AC to today?,"Pottstown, PA",88,0.14,79,8.67,8.65,7.83,10,6.05,0.85,3.97
38,What temperature should I set my AC to today?,"Pottstown, PA",88,0.14,82,8.92,8.9,4.06,10,5.55,0.78,3.65
39,What temperature should I set my heat to today?,"Pottstown, PA",21,0.14,66,8.16,8.14,5.13,6.47,7.09,0.99,4.66
39,What temperature should I set my heat to today?,"Pottstown, PA",21,0.14,69,7.9,7.88,9.32,6.47,7.61,1.07,5
39,What temperature should I set my heat to today?,"Pottstown, PA",21,0.14,72,7.65,7.62,8.6,6.47,8.13,1.14,5.34
40,What temperature should I set my AC to today?,"Exton, PA",91,0.14,73,7.8,7.77,7.59,9.41,7.83,1.1,5.15
40,What temperature should I set my AC to today?,"Exton, PA",91,0.14,76,8,7.98,10,9.41,7.42,1.04,4.87
40,What temperature should I set my AC to today?,"Exton, PA",91,0.14,79,8.2,8.18,7.59,9.41,7,0.98,4.6
41,What temperature should I set my heat to today?,"Exton, PA",20,0.14,67,8.64,8.62,5.82,6.47,6.12,0.86,4.02
41,What temperature should I set my heat to today?,"Exton, PA",20,0.14,70,8.43,8.4,10,6.47,6.55,0.92,4.31
41,What temperature should I set my heat to today?,"Exton, PA",20,0.14,73,8.21,8.19,7.59,6.47,6.98,0.98,4.59
42,What temperature should I set my AC to today?,"Reading, PA",92,0.14,78,8.21,8.19,8.6,9.41,6.99,0.98,4.59
42,What temperature should I set my AC to today?,"Reading, PA",92,0.14,81,8.49,8.46,5.13,9.41,6.43,0.9,4.23
42,What temperature should I set my AC to today?,"Reading, PA",92,0.14,84,8.76,8.74,1.53,7.65,5.87,0.82,3.86
43,What temperature should I set my heat to today?,"Reading, PA",22,0.14,65,7.94,7.92,4.06,6.47,7.53,1.05,4.95
43,What temperature should I set my heat to today?,"Reading, PA",22,0.14,68,7.66,7.63,8.6,6.47,8.11,1.14,5.33
43,What temperature should I set my heat to today?,"Reading, PA",22,0.14,71,7.37,7.34,9.32,6.47,8.69,1.22,5.71
44,What temperature should I set my AC to today?,"Newtown, PA",89,0.14,74,8.11,8.09,8.6,9.41,7.19,1.01,4.73
44,What temperature should I set my AC to today?,"Newtown, PA",89,0.14,77,8.31,8.28,9.32,9.41,6.79,0.95,4.47
44,What temperature should I set my AC to today?,"Newtown, PA",89,0.14,80,8.5,8.48,6.11,10,6.4,0.9,4.21
45,What temperature should I set my heat to today?,"Newtown, PA",24,0.14,67,9.08,9.06,6.11,6.47,5.22,0.73,3.43
45,What temperature should I set my heat to today?,"Newtown, PA",24,0.14,70,8.88,8.86,10,6.47,5.63,0.79,3.7
45,What temperature should I set my heat to today?,"Newtown, PA",24,0.14,73,8.67,8.65,7.83,6.47,6.05,0.85,3.97
46,What temperature should I set my AC to today?,"Wilkes-Barre, PA",87,0.14,75,7.87,7.85,9.25,9.41,7.67,1.07,5.04
46,What temperature should I set my AC to today?,"Wilkes-Barre, PA",87,0.14,78,8.16,8.14,8.46,10,7.09,0.99,4.66
46,What temperature should I set my AC to today?,"Wilkes-Barre, PA",87,0.14,81,8.45,8.43,4.61,10,6.5,0.91,4.27
47,What temperature should I set my heat to today?,"Wilkes-Barre, PA",19,0.14,66,7.31,7.28,4.71,6.47,8.81,1.23,5.79
47,What temperature should I set my heat to today?,"Wilkes-Barre, PA",19,0.14,69,7.01,6.98,9.25,6.47,9.42,1.32,6.19
47,What temperature should I set my heat to today?,"Wilkes-Barre, PA",19,0.14,72,6.71,6.68,8.46,6.47,10.03,1.4,6.6
48,What temperature should I set my AC to today?,"Carlisle, PA",90,0.14,78,7.44,7.41,8.6,9.41,8.55,1.2,5.62
48,What temperature should I set my AC to today?,"Carlisle, PA",90,0.14,81,7.8,7.77,5.13,10,7.83,1.1,5.15
48,What temperature should I set my AC to today?,"Carlisle, PA",90,0.14,84,8.15,8.13,1.53,7.65,7.11,0.99,4.67
49,What temperature should I set my heat to today?,"Carlisle, PA",23,0.14,65,6.95,6.92,4.06,6.47,9.55,1.34,6.28
49,What temperature should I set my heat to today?,"Carlisle, PA",23,0.14,68,6.58,6.55,8.6,6.47,10.3,1.44,6.77
49,What temperature should I set my heat to today?,"Carlisle, PA",23,0.14,71,6.21,6.17,9.32,6.47,11.05,1.55,7.26
50,What temperature should I set my AC to today?,"Lebanon, PA",91,0.14,76,5.69,5.65,10,9.41,12.1,1.69,7.96
50,What temperature should I set my AC to today?,"Lebanon, PA",91,0.14,79,6.12,6.09,7.83,9.41,11.23,1.57,7.38
50,What temperature should I set my AC to today?,"Lebanon, PA",91,0.14,82,6.55,6.52,4.06,10,10.35,1.45,6.81
51,What temperature should I set my heat to today?,"Lebanon, PA",21,0.14,66,5.39,5.35,5.13,6.47,12.71,1.78,8.35
51,What temperature should I set my heat to today?,"Lebanon, PA",21,0.14,69,4.94,4.9,9.32,6.47,13.62,1.91,8.95
51,What temperature should I set my heat to today?,"Lebanon, PA",21,0.14,72,4.49,4.45,8.6,6.47,14.53,2.03,9.55
52,What temperature should I set my AC to today?,"Gettysburg, PA",88,0.14,74,7.13,7.1,8.3,9.41,9.18,1.29,6.03
52,What temperature should I set my AC to today?,"Gettysburg, PA",88,0.14,77,7.38,7.35,9.18,9.41,8.67,1.21,5.7
52,What temperature should I set my AC to today?,"Gettysburg, PA",88,0.14,80,7.63,7.6,5.33,10,8.16,1.14,5.37
53,What temperature should I set my heat to today?,"Gettysburg, PA",20,0.14,67,8.09,8.07,5.53,6.47,7.23,1.01,4.75
53,What temperature should I set my heat to today?,"Gettysburg, PA",20,0.14,70,7.83,7.81,10,6.47,7.76,1.09,5.1
53,What temperature should I set my heat to today?,"Gettysburg, PA",20,0.14,73,7.57,7.54,7.34,6.47,8.28,1.16,5.45
54,What temperature should I set my AC to today?,"Chambersburg, PA",92,0.14,75,4.4,4.35,9.25,9.41,14.72,2.06,9.68
54,What temperature should I set my AC to today?,"Chambersburg, PA",92,0.14,78,4.9,4.86,8.46,9.41,13.71,1.92,9.01
54,What temperature should I set my AC to today?,"Chambersburg, PA",92,0.14,81,5.4,5.36,4.61,9.41,12.69,1.78,8.34
55,What temperature should I set my heat to today?,"Chambersburg, PA",18,0.14,67,3.64,3.59,5.82,6.47,16.26,2.28,10.69
55,What temperature should I set my heat to today?,"Chambersburg, PA",18,0.14,70,3.12,3.07,10,6.47,17.32,2.42,11.38
55,What temperature should I set my heat to today?,"Chambersburg, PA",18,0.14,73,2.6,2.54,7.59,6.47,18.38,2.57,12.08
56,What temperature should I set my AC to today?,"Altoona, PA",85,0.14,76,7.51,7.48,10,10,8.41,1.18,5.53
56,What temperature should I set my AC to today?,"Altoona, PA",85,0.14,79,7.89,7.86,7.83,10,7.64,1.07,5.02
56,What temperature should I set my AC to today?,"Altoona, PA",85,0.14,82,8.27,8.24,4.06,10,6.87,0.96,4.52
57,What temperature should I set my heat to today?,"Altoona, PA",17,0.14,66,5.75,5.71,5.13,6.47,11.98,1.68,7.87
57,What temperature should I set my heat to today?,"Altoona, PA",17,0.14,69,5.36,5.32,9.32,6.47,12.77,1.79,8.4
57,What temperature should I set my heat to today?,"Altoona, PA",17,0.14,72,4.96,4.92,8.6,6.47,13.57,1.9,8.92
58,What temperature should I set my AC to today?,"Stroudsburg, PA",89,0.14,76,0.02,0,10,9.41,23.61,3.31,15.52
58,What temperature should I set my AC to today?,"Stroudsburg, PA",89,0.14,79,0.89,0.82,7.83,9.41,21.84,3.06,14.36
58,What temperature should I set my AC to today?,"Stroudsburg, PA",89,0.14,82,1.76,1.7,4.06,10,20.07,2.81,13.19
59,What temperature should I set my heat to today?,"Stroudsburg, PA",21,0.14,66,0,0,5.13,6.47,25.45,3.56,16.73
59,What temperature should I set my heat to today?,"Stroudsburg, PA",21,0.14,69,0,0,9.32,6.47,27.29,3.82,17.94
59,What temperature should I set my heat to today?,"Stroudsburg, PA",21,0.14,72,0,0,8.6,6.47,29.14,4.08,19.15
60,Should I turn off my AC while I'm at work for 8 hours today?,"Hazleton, PA",95,0.14,Off (let drift to 85),7.75,7.73,0,6.06,7.92,1.11,5.21
60,Should I turn off my AC while I'm at work for 8 hours today?,"Hazleton, PA",95,0.14,80,7.23,7.2,6.11,9.41,8.98,1.26,5.9
60,Should I turn off my AC while I'm at work for 8 hours today?,"Hazleton, PA",95,0.14,76,6.81,6.78,10,9.41,9.83,1.38,6.46
61,What temperature should I set my thermostat to for the weekend when I'm away?,"Monroeville, PA",88,0.14,82,9.29,9.27,4.06,10,4.8,0.67,3.16
61,What temperature should I set my thermostat to for the weekend when I'm away?,"Monroeville, PA",88,0.14,78,9.08,9.06,8.6,9.41,5.23,0.73,3.44
61,What temperature should I set my thermostat to for the weekend when I'm away?,"Monroeville, PA",88,0.14,75,8.92,8.9,9.32,9.41,5.55,0.78,3.65
62,Should I adjust my thermostat setpoint overnight while sleeping?,"New Castle, PA",92,0.14,Keep 78,8.02,8,8.6,9.41,7.37,1.03,4.85
62,Should I adjust my thermostat setpoint overnight while sleeping?,"New Castle, PA",92,0.14,Setback to 82,8.41,8.39,4.06,9.41,6.59,0.92,4.33
62,Should I adjust my thermostat setpoint overnight while sleeping?,"New Castle, PA",92,0.14,Setback to 85,8.7,8.68,0,6.47,6,0.84,3.94
63,What temperature should I maintain during a 3-day heat wave?,"Butler, PA",98,0.14,80,6.1,6.06,5.73,9.41,11.27,1.58,7.41
63,What temperature should I maintain during a 3-day heat wave?,"Butler, PA",98,0.14,78,5.85,5.81,8.46,8.24,11.78,1.65,7.74
63,What temperature should I maintain during a 3-day heat wave?,"Butler, PA",98,0.14,75,5.48,5.44,9.25,8.24,12.53,1.75,8.23
64,Should I pre-cool my house before peak electricity hours this afternoon?,"Coatesville, PA",91,0.14,Pre-cool to 70,9.19,9.17,4.06,7.64,5.01,0.7,3.29
64,Should I pre-cool my house before peak electricity hours this afternoon?,"Coatesville, PA",91,0.14,Keep 76,9.42,9.41,10,9.41,4.53,0.63,2.98
64,Should I pre-cool my house before peak electricity hours this afternoon?,"Coatesville, PA",91,0.14,Wait until peak (78),9.5,9.48,8.6,9.41,4.37,0.61,2.87
65,What thermostat setting should I use while hosting guests for the evening?,"Uniontown, PA",89,0.14,72,8.15,8.12,6.11,9.41,7.12,1,4.68
65,What thermostat setting should I use while hosting guests for the evening?,"Uniontown, PA",89,0.14,75,8.41,8.39,9.32,9.41,6.58,0.92,4.32
65,What thermostat setting should I use while hosting guests for the evening?,"Uniontown, PA",89,0.14,78,8.68,8.66,8.6,9.41,6.04,0.84,3.97
66,Should I raise my AC setpoint during the day when no one is home?,"Indiana, PA",93,0.14,Off (let drift to 88),7.5,7.47,0,2.94,8.43,1.18,5.54
66,Should I raise my AC setpoint during the day when no one is home?,"Indiana, PA",93,0.14,82,6.73,6.7,4.06,9.41,10,1.4,6.57
66,Should I raise my AC setpoint during the day when no one is home?,"Indiana, PA",93,0.14,78,6.21,6.18,8.6,9.41,11.04,1.55,7.26
67,What temperature should I keep my house at during a week-long vacation?,"Meadville, PA",90,0.14,85,9.34,9.33,0,6.47,4.69,0.66,3.08
67,What temperature should I keep my house at during a week-long vacation?,"Meadville, PA",90,0.14,80,9.08,9.06,5.73,9.41,5.22,0.73,3.43
67,What temperature should I keep my house at during a week-long vacation?,"Meadville, PA",90,0.14,78,8.98,8.96,8.46,9.41,5.43,0.76,3.57
68,Should I turn off heating at night to save money?,"Greensburg, PA",15,0.14,Off (55),8.46,8.44,0,0,6.49,0.91,4.26
68,Should I turn off heating at night to save money?,"Greensburg, PA",15,0.14,62,7.84,7.81,0,5.65,7.74,1.08,5.09
68,Should I turn off heating at night to save money?,"Greensburg, PA",15,0.14,66,7.49,7.46,5.13,6.47,8.46,1.18,5.56
69,What's the best thermostat setting for working from home all day?,"DuBois, PA",88,0.14,75,7.58,7.55,9.25,9.41,8.28,1.16,5.44
69,What's the best thermostat setting for working from home all day?,"DuBois, PA",88,0.14,78,7.91,7.89,8.46,9.41,7.59,1.06,4.99
69,What's the best thermostat setting for working from home all day?,"DuBois, PA",88,0.14,80,8.14,8.11,5.73,10,7.14,1,4.69
70,Should I lower the heat while I'm away for a long weekend?,"Oil City, PA",22,0.14,60,9.69,9.68,0,4,3.98,0.56,2.62
70,Should I lower the heat while I'm away for a long weekend?,"Oil City, PA",22,0.14,65,9.4,9.38,4.06,6.47,4.58,0.64,3.01
70,Should I lower the heat while I'm away for a long weekend?,"Oil City, PA",22,0.14,68,9.22,9.21,8.6,6.47,4.93,0.69,3.24
71,What temperature should I set for the next 5 days during cold weather?,"Hazleton, PA",12,0.14,66,7.83,7.8,5.13,6.47,7.76,1.09,5.1
71,What temperature should I set for the next 5 days during cold weather?,"Hazleton, PA",12,0.14,68,7.68,7.65,8.6,6.47,8.07,1.13,5.31
71,What temperature should I set for the next 5 days during cold weather?,"Hazleton, PA",12,0.14,70,7.52,7.5,10,6.47,8.38,1.17,5.51
72,Should I adjust my thermostat differently on weekdays versus weekends?,"Monroeville, PA",85,0.14,Keep constant 76,8.71,8.69,10,10,5.97,0.84,3.92
72,Should I adjust my thermostat differently on weekdays versus weekends?,"Monroeville, PA",85,0.14,Weekday 78 / Weekend 74,8.84,8.82,8.6,10,5.72,0.8,3.76
72,Should I adjust my thermostat differently on weekdays versus weekends?,"Monroeville, PA",85,0.14,Weekday 80 / Weekend 73,8.96,8.94,6.11,10,5.47,0.77,3.6
73,What's the most efficient overnight heating setpoint for my family?,"New Castle, PA",18,0.14,66,8.59,8.57,5.13,6.47,6.21,0.87,4.08
