Scenario_ID,Alternative_ID,Decision_Type,Alternative_Description,Practicality,Comfort,Environmental_Impact,Energy_Cost
18,2,HVAC,81,6.9,4.8,7.6,8.5
18,3,HVAC,84,4.3,1.0,8.7,9.5
19,1,HVAC,65,6.6,2.5,7.1,7.3
19,2,HVAC,68,7.9,6.7,5.9,5.7
19,3,HVAC,71,7.2,6.7,2.8,4.2
20,1,HVAC,71,7.1,4.8,3.4,3.6
20,2,HVAC,75,7.7,6.7,5.1,5.3
20,3,HVAC,79,6.5,6.0,7.3,8.0
21,1,HVAC,68,7.2,6.7,6.0,6.1
21,2,HVAC,71,6.9,7.9,3.5,5.4
21,3,HVAC,74,7.1,5.2,2.7,4.0
22,1,HVAC,75,6.3,7.4,5.6,5.7
22,2,HVAC,78,7.6,6.9,6.8,5.6
22,3,HVAC,81,6.5,6.0,6.8,8.9
23,1,HVAC,66,7.4,5.2,7.2,7.8
23,2,HVAC,69,7.0,7.8,5.1,5.4
23,3,HVAC,72,7.4,6.7,3.0,4.4
24,1,HVAC,76,7.9,7.4,5.0,5.4
24,2,HVAC,79,7.4,6.2,7.0,6.8
24,3,HVAC,82,6.4,4.4,8.4,8.5
25,1,HVAC,66,6.7,4.7,6.3,6.8
25,2,HVAC,69,7.3,7.7,5.1,6.7
25,3,HVAC,72,6.3,6.3,3.3,3.8
26,1,HVAC,73,7.0,5.6,4.9,4.4
26,2,HVAC,76,6.7,7.3,5.2,6.3
26,3,HVAC,79,7.4,6.4,6.7,7.7
27,1,HVAC,67,7.2,5.6,6.7,7.4
27,2,HVAC,70,6.6,7.8,4.4,5.3
27,3,HVAC,73,6.8,4.7,3.1,4.4
28,1,HVAC,78,7.1,6.8,5.7,5.8
28,2,HVAC,81,6.0,4.8,7.3,7.0
28,3,HVAC,84,5.1,2.6,8.6,8.6
29,1,HVAC,65,5.9,3.3,6.7,7.8
29,2,HVAC,68,7.0,6.3,4.7,5.8
29,3,HVAC,71,7.5,7.5,3.6,5.4
30,1,HVAC,74,7.0,7.5,4.8,4.4
30,2,HVAC,77,5.6,6.0,6.4,5.8
30,3,HVAC,80,6.6,5.5,6.9,7.9
31,1,HVAC,67,7.2,5.4,6.5,7.1
31,2,HVAC,70,7.6,6.9,4.6,5.5
31,3,HVAC,73,7.4,5.7,2.9,4.7
32,1,HVAC,75,7.0,7.8,4.7,5.2
32,2,HVAC,78,6.8,6.2,5.5,6.6
32,3,HVAC,81,6.2,4.6,7.1,8.2
33,1,HVAC,66,7.0,4.7,7.3,7.6
33,2,HVAC,69,5.8,7.3,4.9,5.2
33,3,HVAC,72,7.3,6.2,3.1,4.4
34,1,HVAC,78,7.4,6.7,6.0,5.9
34,2,HVAC,81,6.1,4.5,7.9,7.7
34,3,HVAC,84,5.3,2.4,8.8,9.0
35,1,HVAC,65,6.5,3.1,7.0,6.8
35,2,HVAC,68,6.2,6.5,5.4,6.3
35,3,HVAC,71,7.4,6.4,3.4,3.9
36,1,HVAC,76,6.6,7.4,5.3,5.9
36,2,HVAC,79,7.7,5.7,6.5,6.8
36,3,HVAC,82,5.8,5.1,7.9,8.1
37,1,HVAC,66,6.7,5.3,6.5,7.2
37,2,HVAC,69,7.8,6.8,4.9,5.7
37,3,HVAC,72,6.4,7.0,3.8,4.8
38,1,HVAC,74,7.2,7.5,4.3,5.2
38,2,HVAC,77,6.8,6.5,6.4,6.4
38,3,HVAC,80,7.0,6.3,6.8,7.1
39,1,HVAC,67,6.6,5.6,6.3,5.9
39,2,HVAC,70,7.4,7.4,5.0,5.0
39,3,HVAC,73,7.5,5.9,3.3,4.1
40,1,HVAC,75,6.4,8.0,4.9,5.1
40,2,HVAC,78,7.0,6.7,5.8,7.1
40,3,HVAC,81,6.8,4.6,7.6,8.7
41,1,HVAC,67,7.8,5.7,5.9,6.6
41,2,HVAC,70,5.9,8.4,4.6,5.5
41,3,HVAC,73,6.6,5.3,2.4,3.7
42,1,HVAC,76,6.9,7.1,4.7,5.2
42,2,HVAC,79,7.2,6.1,5.8,6.7
42,3,HVAC,82,6.1,4.8,7.9,7.1
43,1,HVAC,66,7.4,5.1,6.5,6.8
43,2,HVAC,69,7.3,7.0,4.7,4.9
43,3,HVAC,72,7.4,6.2,3.4,3.7
44,1,HVAC,76,6.9,7.8,5.4,5.2
44,2,HVAC,79,7.1,6.5,6.9,6.8
44,3,HVAC,82,6.2,4.8,8.2,8.4
45,1,HVAC,66,6.6,6.2,6.8,7.1
45,2,HVAC,69,6.5,7.4,5.0,5.3
45,3,HVAC,72,6.5,6.8,3.0,4.4
46,1,HVAC,78,6.6,5.5,6.1,5.9
46,2,HVAC,80,6.7,5.6,7.2,6.8
46,3,HVAC,82,6.0,4.3,8.3,7.6
47,1,HVAC,76,6.6,7.1,5.4,4.8
47,2,HVAC,78,6.1,5.5,6.4,6.0
47,3,HVAC,80,6.0,5.6,7.3,7.1
48,1,HVAC,79,7.3,5.5,6.5,6.3
48,2,HVAC,81,5.5,5.6,7.0,7.0
48,3,HVAC,83,5.3,2.6,8.4,7.8
49,1,HVAC,72,8.3,5.8,5.2,3.9
49,2,HVAC,75,6.4,6.7,5.3,6.2
49,3,HVAC,78,6.5,6.8,6.0,6.7
50,1,HVAC,77,7.1,7.0,6.1,5.8
50,2,HVAC,79,6.6,5.6,6.5,8.4
50,3,HVAC,81,7.8,4.4,7.7,8.4
51,1,HVAC,78,7.2,6.0,6.5,6.2
51,2,HVAC,80,6.7,5.5,7.1,6.9
51,3,HVAC,82,5.8,4.5,6.8,7.3
52,1,HVAC,65,5.5,3.4,8.0,8.3
52,2,HVAC,68,6.6,6.7,5.4,6.6
52,3,HVAC,71,7.6,6.9,4.0,4.6
53,1,HVAC,73,6.9,5.9,4.1,4.3
53,2,HVAC,76,8.0,7.5,5.4,5.6
53,3,HVAC,79,7.3,6.7,6.8,6.7
54,1,HVAC,79,7.1,6.6,6.3,5.7
54,2,HVAC,81,6.4,3.4,7.1,6.5
54,3,HVAC,83,4.7,2.4,8.0,7.6
55,1,HVAC,76,6.7,7.8,5.1,6.2
55,2,HVAC,77,6.9,6.9,5.2,6.1
55,3,HVAC,78,6.9,6.0,6.7,5.9
56,1,HVAC,82,7.0,4.6,7.8,8.8
56,2,HVAC,76,7.6,7.0,5.5,5.9
56,3,HVAC,70,7.0,4.3,3.0,2.4
57,1,HVAC,65,6.3,2.5,7.7,6.9
57,2,HVAC,72,6.2,6.6,2.8,4.2
57,3,HVAC,79,7.0,2.9,0.8,1.5
58,1,HVAC,78,6.3,6.0,6.1,6.2
58,2,HVAC,80,7.1,5.5,7.3,5.8
58,3,HVAC,82,6.3,5.0,8.0,7.7
59,1,HVAC,66,6.1,5.3,6.6,6.5
59,2,HVAC,69,6.6,8.0,4.9,5.2
59,3,HVAC,72,7.2,7.2,3.4,3.7
60,1,HVAC,68,6.8,6.8,6.1,6.0
60,2,HVAC,70,6.5,7.5,4.7,6.2
60,3,HVAC,72,7.2,6.4,3.3,4.0
61,1,Appliance,Dry at 2:00 PM,8.4,6.9,3.5,3.8
61,2,Appliance,Dry at 2:00 AM,0.3,1.2,7.6,7.4
61,3,Appliance,Dry at 9:00 PM,3.9,4.6,5.2,6.0
62,1,Appliance,Run dishwasher at 7:00 PM,7.8,6.8,5.9,5.3
62,2,Appliance,Run dishwasher at 5:00 PM,6.8,5.7,3.0,3.1
62,3,Appliance,Run dishwasher at 4:00 PM,6.1,5.3,2.7,3.1
63,1,Appliance,Run dishwasher at 8:00 PM,7.6,7.2,4.7,5.3
63,2,Appliance,Run dishwasher at 5:00 PM,6.4,6.6,3.3,3.5
63,3,Appliance,Run dishwasher at 1:00 AM,4.2,4.0,7.2,7.6
64,1,Appliance,Run dishwasher at 2:00 PM,8.1,6.7,3.3,2.6
64,2,Appliance,Run dishwasher at 10:00 PM,4.2,3.6,6.5,7.7
64,3,Appliance,Run dishwasher at 1:00 AM,1.2,2.1,7.2,7.4
65,1,Appliance,Run dishwasher at 1:00 AM,6.4,4.9,6.8,8.3
65,2,Appliance,Run dishwasher at 3:00 PM,2.6,4.0,3.3,4.2
65,3,Appliance,Run dishwasher at 11:00 PM,6.6,6.5,7.1,8.0
66,1,Appliance,Wash at 1:00 AM,6.8,5.1,6.4,7.3
66,2,Appliance,Wash at 7:00 PM,5.6,5.0,5.2,5.7
66,3,Appliance,Wash at 3:00 PM,3.0,3.6,3.1,2.7
67,1,Appliance,Wash at 5:00 PM,7.9,7.4,2.5,3.9
67,2,Appliance,Wash at 2:00 PM,6.4,6.4,4.4,4.1
67,3,Appliance,Wash at 10:00 PM,5.7,5.6,7.6,8.2
68,1,Appliance,Wash at 11:00 PM,8.3,6.9,6.3,7.2
68,2,Appliance,Wash at 3:00 PM,3.9,4.3,3.2,3.5
68,3,Appliance,Wash at 5:00 PM,5.1,4.9,3.5,3.1
69,1,Appliance,Wash at 5:00 PM,8.6,6.8,3.9,3.2
69,2,Appliance,Wash at 2:00 PM,5.7,5.6,3.9,4.0
69,3,Appliance,Wash at 9:00 PM,6.1,5.8,5.4,5.2
70,1,Appliance,Wash at 4:00 PM,7.8,6.5,3.1,3.8
70,2,Appliance,Wash at 1:00 AM,3.1,2.6,6.9,7.4
70,3,Appliance,Wash at 10:00 PM,5.5,5.2,7.5,7.9
71,1,Appliance,Wash at 4:00 PM,8.2,6.7,3.8,3.6
71,2,Appliance,Wash at 12:00 PM,6.6,5.6,4.4,4.0
71,3,Appliance,Wash at 9:00 PM,5.5,5.5,5.2,5.6
72,1,Appliance,Wash at 5:00 PM,8.5,7.1,3.4,3.5
72,2,Appliance,Wash at 1:00 AM,2.5,3.3,7.4,7.5
72,3,Appliance,Wash at 7:00 PM,7.0,5.8,4.4,5.5
73,1,Appliance,Wash at 7:00 PM,8.3,7.3,4.4,5.6
73,2,Appliance,Wash at 2:00 PM,5.6,4.5,3.4,3.6
73,3,Appliance,Wash at 1:00 AM,4.6,3.9,6.9,7.1
74,1,Appliance,Wash at 5:00 PM,7.9,6.6,3.6,3.1
74,2,Appliance,Wash at 10:00 PM,5.9,5.5,6.9,7.6
74,3,Appliance,Wash at 1:00 AM,2.2,2.8,7.2,7.8
75,1,Appliance,Wash at 9:00 PM,7.7,6.9,6.4,4.9
75,2,Appliance,Wash at 12:00 AM,4.8,4.2,6.9,7.4
75,3,Appliance,Wash at 2:00 PM,4.5,4.3,2.8,3.1
76,1,Appliance,Dry at 2:00 PM,7.8,7.4,3.6,3.2
76,2,Appliance,Dry at 9:00 PM,4.1,4.8,5.1,5.3
76,3,Appliance,Dry at 5:00 PM,6.6,5.9,3.7,3.3
77,1,Appliance,Dry at 2:00 PM,8.4,7.4,3.3,3.6
77,2,Appliance,Dry at 12:00 AM,1.2,2.2,6.4,7.7
77,3,Appliance,Dry at 11:00 PM,3.2,4.3,7.2,7.4
78,1,Appliance,Dry at 1:00 AM,6.4,5.0,6.0,7.5
78,2,Appliance,Dry at 2:00 PM,2.3,3.0,3.2,3.2
78,3,Appliance,Dry at 8:00 PM,6.0,5.7,4.7,5.3
79,1,Appliance,Dry at 8:00 PM,7.5,6.7,5.6,5.0
79,2,Appliance,Dry at 10:00 AM,3.2,3.0,2.4,4.1
79,3,Appliance,Dry at 4:00 PM,6.5,5.3,3.4,3.4
80,1,Appliance,Dry at 1:00 AM,6.4,5.7,7.3,7.5
80,2,Appliance,Dry at 9:00 PM,6.3,5.2,5.0,5.5
80,3,Appliance,Dry at 4:00 PM,3.4,3.8,3.7,3.3
81,1,Appliance,Dry at 12:00 AM,1.3,2.7,6.7,7.5
81,2,Appliance,Dry at 7:00 PM,5.6,4.7,5.6,5.1
81,3,Appliance,Dry at 3:00 PM,7.7,7.1,3.6,3.6
82,1,Appliance,Dry at 12:00 AM,1.3,2.1,6.6,7.4
82,2,Appliance,Dry at 10:00 PM,4.0,4.0,7.1,7.2
82,3,Appliance,Dry at 4:00 PM,6.8,5.9,3.7,3.2
83,1,Appliance,Dry at 4:00 PM,7.7,7.3,3.4,3.4
83,2,Appliance,Dry at 10:00 PM,5.0,5.1,7.0,7.8
83,3,Appliance,Dry at 6:00 AM,3.5,3.5,5.4,5.5
84,1,Appliance,Dry at 3:00 PM,7.9,6.5,3.9,3.7
84,2,Appliance,Dry at 11:00 PM,4.5,4.5,6.2,7.9
84,3,Appliance,Dry at 1:00 AM,2.0,2.1,7.0,7.6
85,1,Appliance,Run dishwasher at 7:00 PM,5.4,4.8,4.7,5.0
85,2,Appliance,Run dishwasher at 10:00 PM,3.8,4.8,7.1,7.6
85,3,Appliance,Run dishwasher at 1:00 AM,1.1,2.1,6.4,6.9
86,1,Shower,6,7.6,7.3,5.4,5.3
86,2,Shower,9,6.3,8.7,4.3,4.7
86,3,Shower,12,5.9,8.8,3.5,3.5
87,1,Shower,5,6.2,5.3,6.1,5.3
87,2,Shower,7,7.6,7.3,5.5,5.4
87,3,Shower,10,6.1,8.2,3.9,3.8
88,1,Shower,5,6.1,5.2,7.8,6.3
88,2,Shower,10,5.9,8.7,5.0,4.8
88,3,Shower,15,3.5,8.6,3.1,2.8
89,1,Shower,5,6.3,5.6,6.1,6.3
89,2,Shower,8,7.8,7.6,4.7,5.2
89,3,Shower,12,6.2,8.7,3.8,3.6
90,1,Shower,5,6.3,5.2,5.8,6.0
90,2,Shower,10,6.0,8.3,4.3,3.7
90,3,Shower,15,4.3,8.6,1.6,2.4
91,1,Shower,5,6.1,5.6,8.4,7.5
91,2,Shower,7,7.2,7.9,6.6,6.2
91,3,Shower,10,6.5,8.8,5.0,5.2
92,1,Shower,6,7.7,7.7,5.7,6.0
92,2,Shower,10,6.3,8.8,4.1,3.4
92,3,Shower,15,3.4,9.0,1.6,1.7
93,1,Shower,6,7.4,7.1,6.5,5.1
93,2,Shower,9,6.3,8.8,4.7,4.7
93,3,Shower,12,7.0,8.4,2.7,3.5
94,1,Shower,5,6.2,5.4,7.2,7.5
94,2,Shower,8,7.7,7.1,6.7,5.2
94,3,Shower,12,6.4,8.2,4.3,3.9
95,1,Shower,6,7.3,7.7,5.9,5.9
95,2,Shower,10,6.8,8.4,4.0,4.2
95,3,Shower,15,3.9,9.3,2.3,2.4
96,1,Shower,6,7.8,7.0,6.2,5.7
96,2,Shower,9,6.5,8.3,4.3,4.6
96,3,Shower,12,6.8,8.1,3.2,3.0
97,1,Shower,5,5.7,5.6,6.1,5.7
97,2,Shower,8,7.3,7.6,4.9,4.4
97,3,Shower,12,6.2,8.4,3.3,2.8
98,1,Shower,6,7.6,7.3,6.9,5.2
98,2,Shower,9,6.3,8.6,4.1,4.7
98,3,Shower,12,6.2,8.4,3.2,3.0
99,1,Shower,5,6.0,5.9,6.6,5.6
99,2,Shower,7,8.0,7.8,5.5,4.9
99,3,Shower,10,6.5,8.3,4.2,3.9
100,1,Shower,2,2.6,3.4,9.2,8.6
100,2,Shower,16,3.8,9.1,3.2,2.8
100,3,Shower,29,2.1,9.5,0.0,0.0
