Question,Location,Square Footage,Insulation,Household Size,Utility Budget,Housing Type,Outdoor Temp,House Age,R-Value,HVAC Age,SEER,Alternative 1,Alternative 2,Alternative 3,Rationale,iscomplex
What temperature should I set my heat to today?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,21,5,13,5,16,66,69,72,Medium insulation + excellent HVAC + moderate budget + cold (21F) ; moderate,FALSE
What temperature should I set my AC to today?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,94,1,11,1,18,76,79,82,Poor insulation + large home (2600 sqft) + new HVAC (SEER 18) but extreme heat (94F) ; efficiency despite new system,FALSE
What temperature should I set my heat to today?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,17,1,11,1,18,66,69,72,Poor insulation + large home + new HVAC + extreme cold (17F) ; moderate despite new system,FALSE
What temperature should I set my AC to today?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,88,1,19,2,18,73,76,79,Good insulation + large home (2800 sqft) + excellent HVAC + highest budget ; comfort options,FALSE
What temperature should I set my heat to today?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,22,1,19,2,18,68,71,74,Good insulation + large home + excellent HVAC + high budget + cold (22F) ; higher comfort,FALSE
What temperature should I set my AC to today?,"York, PA",1500,Poor,2,$180 ,Single-family,92,4,11,4,17,78,81,84,Poor insulation + small home + good HVAC but lowest budget + hot (92F) ; efficiency priority,FALSE
What temperature should I set my heat to today?,"York, PA",1500,Poor,2,$180 ,Single-family,20,4,11,4,17,65,68,71,Poor insulation + small home + good HVAC + low budget + cold (20F) ; conservative,FALSE
What temperature should I set my AC to today?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,89,5,13,5,16,76,79,82,Medium insulation + moderate HVAC + moderate budget + hot (89F) ; balanced,FALSE
What temperature should I set my heat to today?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,24,5,13,5,16,66,69,72,Medium insulation + moderate HVAC + moderate budget + cold (24F) ; moderate,FALSE
What temperature should I set my AC to today?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,84,7,13,7,16,75,78,81,Medium insulation + good HVAC + low budget + mild (84F) ; efficiency leaning,FALSE
What temperature should I set my heat to today?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,16,7,13,7,16,66,69,72,Medium insulation + good HVAC + low budget + extreme cold (16F) ; conservative,FALSE
What temperature should I set my AC to today?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,91,9,11,9,15,78,81,84,Poor insulation + small apartment (1200 sqft) + old HVAC + lowest budget + hot (91F) ; maximum efficiency,FALSE
What temperature should I set my heat to today?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,19,9,11,9,15,65,68,71,Poor insulation + small apartment + old HVAC + lowest budget + cold (19F) ; minimal heating,FALSE
What temperature should I set my AC to today?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,90,10,19,11,16,71,75,79,Good insulation + large home (3000 sqft) + good HVAC + highest budget + hot (90F) ; luxury comfort available,FALSE
What temperature should I set my heat to today?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,23,10,19,11,16,68,71,74,Good insulation + large home + good HVAC + highest budget + cold (23F) ; high comfort,FALSE
What temperature should I set my AC to today?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,93,12,13,12,15,75,78,81,Medium insulation + large home (2200 sqft) + moderate HVAC + high budget + extreme heat (93F) ; balanced despite heat,FALSE
What temperature should I set my heat to today?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,18,12,13,12,15,66,69,72,Medium insulation + large home + moderate HVAC + high budget + extreme cold (18F) ; moderate,FALSE
What temperature should I set my AC to today?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,88,13,13,14,15,76,79,82,Medium insulation + moderate HVAC + moderate budget + hot (88F) ; balanced,FALSE
What temperature should I set my heat to today?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,21,13,13,14,15,66,69,72,Medium insulation + moderate HVAC + moderate budget + cold (21F) ; moderate,FALSE
What temperature should I set my AC to today?,"Exton, PA",2400,Good,4,$380 ,Single-family,91,14,19,14,16,73,76,79,Good insulation + good HVAC + high budget + hot (91F) ; comfort options,FALSE
What temperature should I set my heat to today?,"Exton, PA",2400,Good,4,$380 ,Single-family,20,14,19,14,16,67,70,73,Good insulation + good HVAC + high budget + cold (20F) ; higher comfort,FALSE
What temperature should I set my AC to today?,"Reading, PA",1600,Poor,2,$190 ,Rowhouse,92,15,11,16,14,78,81,84,Poor insulation + old HVAC + low budget + hot (92F) ; efficiency priority,FALSE
What temperature should I set my heat to today?,"Reading, PA",1600,Poor,2,$190 ,Rowhouse,22,15,11,16,14,65,68,71,Poor insulation + old HVAC + low budget + cold (22F) ; conservative,FALSE
What temperature should I set my AC to today?,"Newtown, PA",2100,Good,3,$340 ,Single-family,89,17,19,17,15,74,77,80,Good insulation + moderate HVAC + high budget + hot (89F) ; balanced comfort,FALSE
What temperature should I set my heat to today?,"Newtown, PA",2100,Good,3,$340 ,Single-family,24,17,19,17,15,67,70,73,Good insulation + moderate HVAC + high budget + cold (24F) ; moderate-high comfort,FALSE
What temperature should I set my AC to today?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,87,19,13,19,14,75,78,81,Medium insulation + moderate HVAC + moderate budget + hot (87F) ; balanced,FALSE
What temperature should I set my heat to today?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,19,19,13,19,14,66,69,72,Medium insulation + moderate HVAC + moderate budget + cold (19F) ; moderate,FALSE
What temperature should I set my AC to today?,"Carlisle, PA",1650,Poor,2,$195 ,Townhouse,90,21,11,25,12,78,81,84,Poor insulation + old HVAC + low budget + hot (90F) ; efficiency priority,FALSE
What temperature should I set my heat to today?,"Carlisle, PA",1650,Poor,2,$195 ,Townhouse,23,21,11,25,12,65,68,71,Poor insulation + old HVAC + low budget + cold (23F) ; conservative,FALSE
What temperature should I set my AC to today?,"Lebanon, PA",2350,Medium,3,$310 ,Single-family,91,25,13,26,12,76,79,82,Medium insulation + old HVAC + moderate budget + hot (91F) ; efficiency leaning,FALSE
What temperature should I set my heat to today?,"Lebanon, PA",2350,Medium,3,$310 ,Single-family,21,25,13,26,12,66,69,72,Medium insulation + old HVAC + moderate budget + cold (21F) ; moderate,FALSE
What temperature should I set my AC to today?,"Gettysburg, PA",1800,Good,5,$380 ,Single-family,88,26,19,28,11,74,77,80,Good insulation + moderate HVAC + high budget + hot (88F) ; balanced comfort,FALSE
What temperature should I set my heat to today?,"Gettysburg, PA",1800,Good,5,$380 ,Single-family,20,26,19,28,11,67,70,73,Good insulation + moderate HVAC + high budget + cold (20F) ; moderate-high comfort,FALSE
What temperature should I set my AC to today?,"Chambersburg, PA",2450,Medium,4,$340 ,Single-family,92,28,13,29,11,75,78,81,Medium insulation + moderate HVAC + high budget + hot (92F) ; balanced,FALSE
What temperature should I set my heat to today?,"Chambersburg, PA",2450,Medium,4,$340 ,Single-family,18,28,13,29,11,67,70,73,Medium insulation + moderate HVAC + high budget + extreme cold (18F) ; moderate,FALSE
What temperature should I set my AC to today?,"Altoona, PA",1550,Poor,2,$175 ,Apartment,85,29,11,30,11,76,79,82,Medium insulation + old HVAC + low budget + mild (85F) ; efficiency priority,FALSE
What temperature should I set my heat to today?,"Altoona, PA",1550,Poor,2,$175 ,Apartment,17,29,11,30,11,66,69,72,Medium insulation + old HVAC + low budget + extreme cold (17F) ; conservative,FALSE
What temperature should I set my AC to today?,"Stroudsburg, PA",2050,Medium,3,$270 ,Single-family,89,102,13,95,8,76,79,82,Medium insulation + very old HVAC (95 years) + moderate budget + hot (89F) ; efficiency despite moderate budget,FALSE
What temperature should I set my heat to today?,"Stroudsburg, PA",2050,Medium,3,$270 ,Single-family,21,102,13,95,8,66,69,72,Medium insulation + very old HVAC + moderate budget + cold (21F) ; conservative due to old system,FALSE
Should I turn off my AC while I'm at work for 8 hours today?,"Hazleton, PA",1900,Medium,3,$250 ,Single-family,95,22,13,23,13,Off (let drift to 85),80,76,Complex: 8-hour absence + extreme heat (95F) ; test aggressive savings vs comfort on return,TRUE
What temperature should I set my thermostat to for the weekend when I'm away?,"Monroeville, PA",2150,Good,2,$290 ,Condo,88,4,19,4,17,82,78,75,Complex: weekend away + good insulation + good HVAC ; setback vs comfort options,TRUE
Should I adjust my thermostat setpoint overnight while sleeping?,"New Castle, PA",1700,Poor,3,$205 ,Single-family,92,15,11,16,14,Keep 78,Setback to 82,Setback to 85,Complex: overnight adjustment + poor insulation + extreme heat (92F) ; test setback viability,TRUE
What temperature should I maintain during a 3-day heat wave?,"Butler, PA",2000,Medium,4,$285 ,Single-family,98,25,13,27,12,80,78,75,Complex: 3-day heatwave (98F) + medium insulation ; sustained comfort vs efficiency,TRUE
Should I pre-cool my house before peak electricity hours this afternoon?,"Coatesville, PA",1450,Good,2,$225 ,Townhouse,91,8,19,9,16,Pre-cool to 70,Keep 76,Wait until peak (78),Complex: pre-cooling strategy + good insulation + TOU rates ; timing optimization,TRUE
What thermostat setting should I use while hosting guests for the evening?,"Uniontown, PA",2300,Poor,3,$220 ,Single-family,89,1,11,1,18,72,75,78,Complex: hosting guests + poor insulation + new HVAC + hot (89F) ; comfort vs cost with guests,TRUE
Should I raise my AC setpoint during the day when no one is home?,"Indiana, PA",1850,Medium,2,$240 ,Apartment,93,30,13,31,11,Off (let drift to 88),82,78,Complex: daytime absence + old HVAC + extreme heat (93F) ; aggressive setback vs comfort,TRUE
What temperature should I keep my house at during a week-long vacation?,"Meadville, PA",2100,Good,4,$365 ,Single-family,90,5,19,6,17,85,80,78,Complex: week vacation + good insulation + excellent HVAC + hot (90F) ; vacation setback range,TRUE
Should I turn off heating at night to save money?,"Greensburg, PA",1950,Medium,3,$275 ,Single-family,15,11,13,12,15,Off (55),62,66,Complex: overnight heating shutoff + extreme cold (15F) + medium insulation ; safety vs savings,TRUE
What's the best thermostat setting for working from home all day?,"DuBois, PA",1750,Poor,4,$230 ,Single-family,88,21,11,21,13,75,78,80,Complex: work from home all day + poor insulation + old HVAC + hot (88F) ; sustained comfort vs cost,TRUE
Should I lower the heat while I'm away for a long weekend?,"Oil City, PA",1600,Medium,3,$210 ,Townhouse,22,3,13,3,17,60,65,68,Complex: long weekend away + medium insulation + cold (22F) ; setback vs comfort/safety,TRUE
What temperature should I set for the next 5 days during cold weather?,"Hazleton, PA",1900,Medium,3,$250 ,Single-family,12,6,13,6,16,66,68,70,Complex: 5-day cold period (12F) + medium insulation ; sustained heating strategy,TRUE
Should I adjust my thermostat differently on weekdays versus weekends?,"Monroeville, PA",2150,Good,2,$290 ,Condo,85,13,19,14,16,Keep constant 76,Weekday 78 / Weekend 74,Weekday 80 / Weekend 73,Complex: schedule variation + good insulation + mild (85F) ; optimization strategy,TRUE
What's the most efficient overnight heating setpoint for my family?,"New Castle, PA",1700,Poor,3,$205 ,Single-family,18,1,11,2,18,66,68,70,Complex: overnight efficiency + poor insulation + new HVAC + cold (18F) ; setback testing,TRUE
Should I turn off the AC when opening windows in the evening?,"Butler, PA",2000,Medium,4,$285 ,Single-family,78,7,13,8,15,Off (open windows),78 with windows closed,75 with windows closed,Complex: evening cooling strategy + mild (78F) + medium insulation ; natural vs mechanical,TRUE
What temperature should I maintain during a week of subfreezing weather?,"Coatesville, PA",1450,Good,2,$225 ,Townhouse,8,4,19,5,17,60,64,68,Complex: week of subfreezing (8F) + good insulation ; safety vs extreme savings,TRUE
Should I program my thermostat differently for days when kids are home from school?,"Uniontown, PA",2300,Poor,3,$220 ,Single-family,86,1,11,1,18,75,78,80,Complex: kids home schedule + poor insulation + new HVAC + hot (86F) ; occupancy-based,TRUE
What's the best setpoint for a 2-week winter vacation to prevent pipe freezing?,"Indiana, PA",1850,Medium,2,$240 ,Apartment,10,7,13,8,15,55,60,65,Complex: 2-week vacation + extreme cold (10F) + medium insulation ; pipe freeze prevention vs cost,TRUE
Should I use setback temperatures during my afternoon work shift?,"Meadville, PA",2100,Good,4,$365 ,Single-family,25,4,19,5,17,68,70,72,Complex: afternoon shift setback + good insulation + cold (25F) ; partial day strategy,TRUE
What thermostat schedule should I use for irregular work hours this week?,"Greensburg, PA",1950,Medium,3,$275 ,Single-family,90,1,13,1,18,Keep constant 76,Variable 74-78,Variable 72-80,Complex: irregular schedule + medium insulation + new HVAC + hot (90F) ; flexibility vs optimization,TRUE
Should I use a programmable schedule or keep my thermostat constant all week?,"DuBois, PA",1750,Poor,4,$230 ,Single-family,91,102,11,90,8,Programmable (76 occupied / 82 away),Constant 78,Constant 76,Complex: schedule optimization + poor insulation + very old HVAC + hot (91F) ; automation vs simple,TRUE
