scenario_id,description,location,utility_budget,appliance,appliance_age_type,housing_type,occupants,kwh_per_cycle,peak_rate,offpeak_rate,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_cost,raw_emissions
3,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",200,dishwasher,7,Townhouse,3,1.1,0.17,0.09,9:00 PM,9.1,8.34,6.6,3.88,7.551,3,0.099,0.71
3,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",200,dishwasher,7,Townhouse,3,1.1,0.17,0.09,4:00 PM,8.1,8.34,8.51,8.13,8.2705,2,0.187,0.71
4,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Allentown, PA",150,dishwasher,2,Single-family,2,1.25,0.19,0.08,5:00 PM,7.53,8.08,10,10,8.587,1,0.2375,0.807
4,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Allentown, PA",150,dishwasher,2,Single-family,2,1.25,0.19,0.08,7:00 PM,9.09,8.08,8.6,8.26,8.514,2,0.1,0.807
4,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Allentown, PA",150,dishwasher,2,Single-family,2,1.25,0.19,0.08,4:00 PM,7.53,8.08,2.86,3.83,6.2335,3,0.2375,0.807
5,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Erie, PA",175,dishwasher,10,Townhouse,2,1.25,0.19,0.08,5:00 PM,7.53,8.08,10,10,8.587,1,0.2375,0.807
5,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Erie, PA",175,dishwasher,10,Townhouse,2,1.25,0.19,0.08,11:00 PM,9.09,8.08,4.71,3.15,6.9695,2,0.1,0.807
5,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Erie, PA",175,dishwasher,10,Townhouse,2,1.25,0.19,0.08,4:00 PM,7.53,8.08,2.86,3.83,6.2335,3,0.2375,0.807
6,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Scranton, PA",150,dishwasher,7,Apartment,2,1.25,0.17,0.08,8:00 PM,9.09,8.08,10,10,9.055,1,0.1,0.807
6,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Scranton, PA",150,dishwasher,7,Apartment,2,1.25,0.17,0.08,3:00 PM,7.81,8.08,2.86,3.83,6.3175,3,0.2125,0.807
6,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Scranton, PA",150,dishwasher,7,Apartment,2,1.25,0.17,0.08,4:00 PM,7.81,8.08,2.86,3.83,6.3175,2,0.2125,0.807
7,I just finished dinner around 8 PM. When should I run my dishwasher?,"Bethlehem, PA",150,dishwasher,2,Townhouse,4,1.55,0.17,0.09,8:00 PM,8.64,7.56,10,10,8.738,1,0.1395,1.001
7,I just finished dinner around 8 PM. When should I run my dishwasher?,"Bethlehem, PA",150,dishwasher,2,Townhouse,4,1.55,0.17,0.09,4:00 PM,7.23,7.56,1.04,3.83,5.5975,2,0.2635,1.001
7,I just finished dinner around 8 PM. When should I run my dishwasher?,"Bethlehem, PA",150,dishwasher,2,Townhouse,4,1.55,0.17,0.09,5:00 PM,7.23,7.56,0.94,3.83,5.5775,3,0.2635,1.001
8,Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Reading, PA",120,dishwasher,10,Townhouse,4,1.55,0.17,0.09,2:00 PM,7.23,7.56,10,10,8.315,1,0.2635,1.001
8,Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Reading, PA",120,dishwasher,10,Townhouse,4,1.55,0.17,0.09,3:00 PM,7.23,7.56,8.56,8.2,7.757,2,0.2635,1.001
8,Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Reading, PA",120,dishwasher,10,Townhouse,4,1.55,0.17,0.09,7:00 PM,8.64,7.56,6.71,4.05,7.1875,3,0.1395,1.001
9,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"York, PA",200,dishwasher,7,Townhouse,4,1.4,0.18,0.08,2:00 PM,7.36,7.82,10,10,8.445,1,0.252,0.904
9,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"York, PA",200,dishwasher,7,Townhouse,4,1.4,0.18,0.08,3:00 PM,7.36,7.82,8.56,8.2,7.887,2,0.252,0.904
9,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"York, PA",200,dishwasher,7,Townhouse,4,1.4,0.18,0.08,11:00 PM,8.95,7.82,1.53,0,5.728,3,0.112,0.904
10,Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Philadelphia, PA",175,dishwasher,6,Townhouse,3,1.4,0.18,0.09,2:00 PM,7.36,7.82,10,10,8.445,1,0.252,0.904
10,Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Philadelphia, PA",175,dishwasher,6,Townhouse,3,1.4,0.18,0.09,10:00 PM,8.8,7.82,1.62,2.39,6.0595,3,0.126,0.904
10,Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Philadelphia, PA",175,dishwasher,6,Townhouse,3,1.4,0.18,0.09,9:00 PM,8.8,7.82,6.6,3.88,7.279,2,0.126,0.904
11,Dinner's done around 7 PM. What's the best time to run the dishwasher?,"Lancaster, PA",150,dishwasher,4,Single-family,3,1.7,0.19,0.1,7:00 PM,8.3,7.31,10,10,8.5485,1,0.17,1.098
11,Dinner's done around 7 PM. What's the best time to run the dishwasher?,"Lancaster, PA",150,dishwasher,4,Single-family,3,1.7,0.19,0.1,5:00 PM,6.56,7.31,0.84,3.83,5.269,3,0.323,1.098
11,Dinner's done around 7 PM. What's the best time to run the dishwasher?,"Lancaster, PA",150,dishwasher,4,Single-family,3,1.7,0.19,0.1,4:00 PM,6.56,7.31,0.94,3.83,5.289,2,0.323,1.098
12,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Pittsburgh, PA",120,dishwasher,6,Single-family,4,0.95,0.18,0.1,8:00 PM,9.15,8.6,10,10,9.255,1,0.095,0.614
12,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Pittsburgh, PA",120,dishwasher,6,Single-family,4,0.95,0.18,0.1,5:00 PM,8.28,8.6,0.94,3.83,6.2565,3,0.171,0.614
12,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Pittsburgh, PA",120,dishwasher,6,Single-family,4,0.95,0.18,0.1,1:00 AM,9.15,8.6,5.2,1.14,6.966,2,0.095,0.614
13,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",120,dishwasher,8,Apartment,3,0.95,0.17,0.08,2:00 PM,8.39,8.6,10,10,9.027,1,0.1615,0.614
13,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",120,dishwasher,8,Apartment,3,0.95,0.17,0.08,10:00 PM,9.36,8.6,0.74,2.39,6.3245,2,0.076,0.614
13,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",120,dishwasher,8,Apartment,3,0.95,0.17,0.08,1:00 AM,9.36,8.6,0.43,0,5.904,3,0.076,0.614
14,The dishwasher is full (around 1 AM). Should I run it now or delay it?,"Allentown, PA",120,dishwasher,4,Townhouse,4,1.55,0.19,0.08,1:00 AM,8.82,7.56,8.3,8.26,8.191,1,0.124,1.001
14,The dishwasher is full (around 1 AM). Should I run it now or delay it?,"Allentown, PA",120,dishwasher,4,Townhouse,4,1.55,0.19,0.08,3:00 PM,6.88,7.56,1.62,3.83,5.6085,2,0.2945,1.001
14,The dishwasher is full (around 1 AM). Should I run it now or delay it?,"Allentown, PA",120,dishwasher,4,Townhouse,4,1.55,0.19,0.08,11:00 PM,8.82,7.56,0,0,5.292,3,0.124,1.001
15,I'm finally getting to laundry (around 1 AM). When should I start the washer?,"Philadelphia, PA",120,washing_machine,6,Apartment,3,0.3,0.18,0.08,1:00 AM,9.95,9.72,7.83,8.26,9.192,1,0.024,0.194
15,I'm finally getting to laundry (around 1 AM). When should I start the washer?,"Philadelphia, PA",120,washing_machine,6,Apartment,3,0.3,0.18,0.08,7:00 PM,9.95,9.72,1.24,3.83,7.2095,2,0.024,0.194
15,I'm finally getting to laundry (around 1 AM). When should I start the washer?,"Philadelphia, PA",120,washing_machine,6,Apartment,3,0.3,0.18,0.08,3:00 PM,9.61,9.72,1.62,3.83,7.1835,3,0.054,0.194
16,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Lancaster, PA",150,washing_machine,8,Townhouse,5,0.45,0.18,0.09,5:00 PM,9.31,9.46,10,10,9.604,1,0.081,0.291
16,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Lancaster, PA",150,washing_machine,8,Townhouse,5,0.45,0.18,0.09,2:00 PM,9.31,9.46,0,3.83,6.6785,3,0.081,0.291
16,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Lancaster, PA",150,washing_machine,8,Townhouse,5,0.45,0.18,0.09,10:00 PM,9.77,9.46,4.03,2.25,7.3855,2,0.0405,0.291
17,Planning to run the washing machine around 11 PM. Is that okay or should I wait?,"Pittsburgh, PA",175,washing_machine,6,Single-family,5,0.22,0.18,0.08,11:00 PM,10,9.86,8.9,9.16,9.605,1,0.0176,0.142
17,Planning to run the washing machine around 11 PM. Is that okay or should I wait?,"Pittsburgh, PA",175,washing_machine,6,Single-family,5,0.22,0.18,0.08,3:00 PM,9.78,9.86,0,3.83,6.9595,3,0.0396,0.142
17,Planning to run the washing machine around 11 PM. Is that okay or should I wait?,"Pittsburgh, PA",175,washing_machine,6,Single-family,5,0.22,0.18,0.08,5:00 PM,9.78,9.86,0,3.83,6.9595,2,0.0396,0.142
18,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Harrisburg, PA",120,washing_machine,4,Apartment,3,0.28,0.17,0.08,5:00 PM,9.69,9.76,10,10,9.823,1,0.0476,0.181
18,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Harrisburg, PA",120,washing_machine,4,Apartment,3,0.28,0.17,0.08,2:00 PM,9.69,9.76,0.94,3.83,7.0855,3,0.0476,0.181
18,I have time to do laundry this afternoon (around 5 PM). When should I start?,"Harrisburg, PA",120,washing_machine,4,Apartment,3,0.28,0.17,0.08,9:00 PM,9.97,9.76,6.77,6.49,8.7345,2,0.0224,0.181
19,Thinking of washing clothes around 4 PM. Good timing?,"Allentown, PA",120,washing_machine,8,Single-family,3,0.45,0.18,0.09,4:00 PM,9.31,9.46,10,10,9.604,1,0.081,0.291
19,Thinking of washing clothes around 4 PM. Good timing?,"Allentown, PA",120,washing_machine,8,Single-family,3,0.45,0.18,0.09,1:00 AM,9.77,9.46,2.61,0,6.764,3,0.0405,0.291
19,Thinking of washing clothes around 4 PM. Good timing?,"Allentown, PA",120,washing_machine,8,Single-family,3,0.45,0.18,0.09,10:00 PM,9.77,9.46,5.13,2.58,7.655,2,0.0405,0.291
20,I have time to do laundry this afternoon (around 4 PM). When should I start?,"Erie, PA",175,washing_machine,7,Apartment,4,0.28,0.18,0.08,4:00 PM,9.65,9.76,10,10,9.811,1,0.0504,0.181
20,I have time to do laundry this afternoon (around 4 PM). When should I start?,"Erie, PA",175,washing_machine,7,Apartment,4,0.28,0.18,0.08,12:00 PM,9.97,9.76,1.04,3.83,7.1895,3,0.0224,0.181
20,I have time to do laundry this afternoon (around 4 PM). When should I start?,"Erie, PA",175,washing_machine,7,Apartment,4,0.28,0.18,0.08,9:00 PM,9.97,9.76,6.71,4.05,8.3565,2,0.0224,0.181
21,Thinking of washing clothes around 5 PM. Good timing?,"Scranton, PA",120,washing_machine,2,Townhouse,2,0.3,0.18,0.08,5:00 PM,9.61,9.72,10,10,9.785,1,0.054,0.194
21,Thinking of washing clothes around 5 PM. Good timing?,"Scranton, PA",120,washing_machine,2,Townhouse,2,0.3,0.18,0.08,1:00 AM,9.95,9.72,2.35,1.67,7.1075,3,0.024,0.194
21,Thinking of washing clothes around 5 PM. Good timing?,"Scranton, PA",120,washing_machine,2,Townhouse,2,0.3,0.18,0.08,7:00 PM,9.95,9.72,8.6,8.26,9.346,2,0.024,0.194
22,It's late (around 7 PM) but I need to wash clothes. Should I do it now?,"Bethlehem, PA",175,washing_machine,12,Single-family,3,0.45,0.17,0.09,7:00 PM,9.77,9.46,10,10,9.742,1,0.0405,0.291
22,It's late (around 7 PM) but I need to wash clothes. Should I do it now?,"Bethlehem, PA",175,washing_machine,12,Single-family,3,0.45,0.17,0.09,2:00 PM,9.36,9.46,1.14,3.83,6.9215,3,0.0765,0.291
22,It's late (around 7 PM) but I need to wash clothes. Should I do it now?,"Bethlehem, PA",175,washing_machine,12,Single-family,3,0.45,0.17,0.09,1:00 AM,9.77,9.46,5.13,1.03,7.4225,2,0.0405,0.291
23,I want to run a load of laundry around 5 PM. When's the best time?,"Reading, PA",175,washing_machine,7,Townhouse,5,0.3,0.17,0.09,5:00 PM,9.65,9.72,10,10,9.797,1,0.051,0.194
23,I want to run a load of laundry around 5 PM. When's the best time?,"Reading, PA",175,washing_machine,7,Townhouse,5,0.3,0.17,0.09,10:00 PM,9.92,9.72,4.03,2.25,7.5215,2,0.027,0.194
23,I want to run a load of laundry around 5 PM. When's the best time?,"Reading, PA",175,washing_machine,7,Townhouse,5,0.3,0.17,0.09,1:00 AM,9.92,9.72,0.94,0,6.566,3,0.027,0.194
24,Planning to run the washing machine around 9 PM. Is that okay or should I wait?,"York, PA",150,washing_machine,3,Townhouse,3,0.3,0.18,0.08,9:00 PM,9.95,9.72,10,10,9.887,1,0.024,0.194
24,Planning to run the washing machine around 9 PM. Is that okay or should I wait?,"York, PA",150,washing_machine,3,Townhouse,3,0.3,0.18,0.08,12:00 AM,9.95,9.72,6.48,4.22,8.316,2,0.024,0.194
24,Planning to run the washing machine around 9 PM. Is that okay or should I wait?,"York, PA",150,washing_machine,3,Townhouse,3,0.3,0.18,0.08,2:00 PM,9.61,9.72,1.33,3.83,7.1255,3,0.054,0.194
25,My laundry is ready to dry (around 2 PM). Should I run the dryer now or wait?,"Philadelphia, PA",175,dryer,2,Apartment,4,2.8,0.17,0.09,2:00 PM,4.82,5.41,10,10,6.8395,1,0.476,1.808
25,My laundry is ready to dry (around 2 PM). Should I run the dryer now or wait?,"Philadelphia, PA",175,dryer,2,Apartment,4,2.8,0.17,0.09,9:00 PM,7.36,5.41,6.6,3.88,6.0035,3,0.252,1.808
25,My laundry is ready to dry (around 2 PM). Should I run the dryer now or wait?,"Philadelphia, PA",175,dryer,2,Apartment,4,2.8,0.17,0.09,5:00 PM,4.82,5.41,8.46,6.56,6.0155,2,0.476,1.808
26,Planning to run the dryer around 2 PM. Is that a good time?,"Lancaster, PA",200,dryer,7,Apartment,4,2.5,0.18,0.09,2:00 PM,5.11,5.92,10,10,7.105,1,0.45,1.615
26,Planning to run the dryer around 2 PM. Is that a good time?,"Lancaster, PA",200,dryer,7,Apartment,4,2.5,0.18,0.09,12:00 AM,7.67,5.92,0.53,0,4.479,3,0.225,1.615
26,Planning to run the dryer around 2 PM. Is that a good time?,"Lancaster, PA",200,dryer,7,Apartment,4,2.5,0.18,0.09,11:00 PM,7.67,5.92,0.64,0,4.501,2,0.225,1.615
27,I'm ready to dry clothes (around 1 AM). When should I start the dryer?,"Pittsburgh, PA",175,dryer,12,Townhouse,4,1.2,0.17,0.09,1:00 AM,9,8.17,8.3,8.26,8.4585,1,0.108,0.775
27,I'm ready to dry clothes (around 1 AM). When should I start the dryer?,"Pittsburgh, PA",175,dryer,12,Townhouse,4,1.2,0.17,0.09,2:00 PM,7.91,8.17,1.71,3.83,6.149,3,0.204,0.775
27,I'm ready to dry clothes (around 1 AM). When should I start the dryer?,"Pittsburgh, PA",175,dryer,12,Townhouse,4,1.2,0.17,0.09,8:00 PM,9,8.17,1.14,3.83,6.362,2,0.108,0.775
28,I'm ready to dry clothes (around 8 PM). When should I start the dryer?,"Harrisburg, PA",200,dryer,2,Townhouse,3,2.5,0.17,0.09,8:00 PM,7.67,5.92,10,10,7.873,1,0.225,1.615
28,I'm ready to dry clothes (around 8 PM). When should I start the dryer?,"Harrisburg, PA",200,dryer,2,Townhouse,3,2.5,0.17,0.09,10:00 AM,7.67,5.92,1.62,3.83,5.2715,2,0.225,1.615
28,I'm ready to dry clothes (around 8 PM). When should I start the dryer?,"Harrisburg, PA",200,dryer,2,Townhouse,3,2.5,0.17,0.09,4:00 PM,5.4,5.92,1.04,3.83,4.4745,3,0.425,1.615
29,Planning to run the dryer around 1 AM. Is that the best time?,"Allentown, PA",200,dryer,3,Townhouse,3,2.5,0.17,0.08,1:00 AM,7.95,5.92,8.3,8.26,7.356,1,0.2,1.615
29,Planning to run the dryer around 1 AM. Is that the best time?,"Allentown, PA",200,dryer,3,Townhouse,3,2.5,0.17,0.08,9:00 PM,7.95,5.92,1.04,3.83,5.2395,2,0.2,1.615
29,Planning to run the dryer around 1 AM. Is that the best time?,"Allentown, PA",200,dryer,3,Townhouse,3,2.5,0.17,0.08,4:00 PM,5.4,5.92,1.53,3.83,4.5725,3,0.425,1.615
30,It's late (around midnight) and I need to dry laundry. Should I start now or delay?,"Erie, PA",150,dryer,3,Apartment,4,3.5,0.17,0.08,12:00 AM,7.05,4.2,7.83,8.26,6.39,1,0.28,2.26
30,It's late (around midnight) and I need to dry laundry. Should I start now or delay?,"Erie, PA",150,dryer,3,Apartment,4,3.5,0.17,0.08,7:00 PM,7.05,4.2,1.14,3.83,4.3875,2,0.28,2.26
30,It's late (around midnight) and I need to dry laundry. Should I start now or delay?,"Erie, PA",150,dryer,3,Apartment,4,3.5,0.17,0.08,3:00 PM,3.47,4.2,1.53,3.83,3.3915,3,0.595,2.26
31,I'm ready to dry clothes (around midnight). When should I start the dryer?,"Scranton, PA",200,dryer,8,Townhouse,2,3.5,0.18,0.08,12:00 AM,7.05,4.2,8.3,8.26,6.484,1,0.28,2.26
31,I'm ready to dry clothes (around midnight). When should I start the dryer?,"Scranton, PA",200,dryer,8,Townhouse,2,3.5,0.18,0.08,10:00 PM,7.05,4.2,0,0,3.585,2,0.28,2.26
31,I'm ready to dry clothes (around midnight). When should I start the dryer?,"Scranton, PA",200,dryer,8,Townhouse,2,3.5,0.18,0.08,4:00 PM,3.07,4.2,2.86,3.83,3.5375,3,0.63,2.26
32,My laundry is ready to dry (around 4 PM). Should I run the dryer now or wait?,"Bethlehem, PA",175,dryer,12,Single-family,2,3.5,0.18,0.08,4:00 PM,3.07,4.2,10,10,5.891,1,0.63,2.26
32,My laundry is ready to dry (around 4 PM). Should I run the dryer now or wait?,"Bethlehem, PA",175,dryer,12,Single-family,2,3.5,0.18,0.08,10:00 PM,7.05,4.2,5.53,3.15,5.1635,2,0.28,2.26
32,My laundry is ready to dry (around 4 PM). Should I run the dryer now or wait?,"Bethlehem, PA",175,dryer,12,Single-family,2,3.5,0.18,0.08,6:00 AM,7.05,4.2,0.64,0,3.713,3,0.28,2.26
33,Planning to run the dryer around 3 PM. Is that a good time?,"Reading, PA",200,dryer,15,Townhouse,2,1.15,0.18,0.09,3:00 PM,7.88,8.25,10,10,8.7515,1,0.207,0.743
33,Planning to run the dryer around 3 PM. Is that a good time?,"Reading, PA",200,dryer,15,Townhouse,2,1.15,0.18,0.09,11:00 PM,9.05,8.25,2.35,3.15,6.545,2,0.1035,0.743
33,Planning to run the dryer around 3 PM. Is that a good time?,"Reading, PA",200,dryer,15,Townhouse,2,1.15,0.18,0.09,1:00 AM,9.05,8.25,2.35,0,6.0725,3,0.1035,0.743
34,I need to dry clothes this afternoon (around 2 PM). When should I start?,"York, PA",150,dryer,5,Apartment,2,2.5,0.18,0.08,2:00 PM,5.11,5.92,10,10,7.105,1,0.45,1.615
34,I need to dry clothes this afternoon (around 2 PM). When should I start?,"York, PA",150,dryer,5,Apartment,2,2.5,0.18,0.08,2:00 AM,7.95,5.92,1.53,0,4.763,3,0.2,1.615
34,I need to dry clothes this afternoon (around 2 PM). When should I start?,"York, PA",150,dryer,5,Apartment,2,2.5,0.18,0.08,9:00 PM,7.95,5.92,7,4.48,6.529,2,0.2,1.615
35,When should I do dishes today?,"York, PA",195,dishwasher,6,Townhouse,3,1.15,0.18,0.09,7:00 PM,9.05,8.25,10,10,9.1025,1,0.1035,0.743
35,When should I do dishes today?,"York, PA",195,dishwasher,6,Townhouse,3,1.15,0.18,0.09,10:00 PM,9.05,8.25,6.48,5.45,7.716,2,0.1035,0.743
35,When should I do dishes today?,"York, PA",195,dishwasher,6,Townhouse,3,1.15,0.18,0.09,1:00 AM,9.05,8.25,4.28,1.03,6.613,3,0.1035,0.743
36,When should I do dishes today?,"Williamsport, PA",265,dishwasher,2,Single-family,4,0.98,0.17,0.09,8:00 PM,9.23,8.55,10,10,9.2615,1,0.0882,0.633
36,When should I do dishes today?,"Williamsport, PA",265,dishwasher,2,Single-family,4,0.98,0.17,0.09,11:00 PM,9.23,8.55,7.18,5.45,8.015,2,0.0882,0.633
36,When should I do dishes today?,"Williamsport, PA",265,dishwasher,2,Single-family,4,0.98,0.17,0.09,2:00 AM,9.23,8.55,5.13,1.03,6.942,3,0.0882,0.633
37,When should I do dishes today?,"McKeesport, PA",340,dishwasher,10,Apartment,2,1.55,0.18,0.09,7:00 PM,8.64,7.56,5.13,3.83,6.8385,1,0.1395,1.001
37,When should I do dishes today?,"McKeesport, PA",340,dishwasher,10,Apartment,2,1.55,0.18,0.09,10:00 PM,8.64,7.56,0,0,5.238,3,0.1395,1.001
37,When should I do dishes today?,"McKeesport, PA",340,dishwasher,10,Apartment,2,1.55,0.18,0.09,12:00 AM,8.64,7.56,0,0,5.238,2,0.1395,1.001
38,When should I do laundry today?,"Altoona, PA",210,washer,2,Apartment,2,0.22,0.17,0.08,7:00 AM,10,9.86,2.86,3.83,7.5975,3,0.0176,0.142
38,When should I do laundry today?,"Altoona, PA",210,washer,2,Apartment,2,0.22,0.17,0.08,10:00 AM,10,9.86,8.6,8.26,9.41,1,0.0176,0.142
38,When should I do laundry today?,"Altoona, PA",210,washer,2,Apartment,2,0.22,0.17,0.08,1:00 PM,10,9.86,7,4.48,8.523,2,0.0176,0.142
39,When should I do laundry today?,"Chester, PA",295,washer,6,Townhouse,4,0.38,0.18,0.09,8:00 AM,9.84,9.58,8.56,8.2,9.247,1,0.0342,0.245
39,When should I do laundry today?,"Chester, PA",295,washer,6,Townhouse,4,0.38,0.18,0.09,11:00 AM,9.84,9.58,6.77,6.49,8.6325,2,0.0342,0.245
39,When should I do laundry today?,"Chester, PA",295,washer,6,Townhouse,4,0.38,0.18,0.09,3:00 PM,9.45,9.58,4.57,3.83,7.6765,3,0.0684,0.245
40,When should I do laundry today?,"Easton, PA",175,washer,10,Single-family,3,0.45,0.17,0.09,7:00 AM,9.77,9.46,0.74,3.83,6.9645,3,0.0405,0.291
40,When should I do laundry today?,"Easton, PA",175,washer,10,Single-family,3,0.45,0.17,0.09,10:00 AM,9.77,9.46,8.51,8.13,9.1635,1,0.0405,0.291
40,When should I do laundry today?,"Easton, PA",175,washer,10,Single-family,3,0.45,0.17,0.09,2:00 PM,9.36,9.46,6.65,3.97,8.0445,2,0.0765,0.291
41,When should I do laundry today?,"Lebanon, PA",385,washer,2,Single-family,5,0.28,0.18,0.09,8:00 AM,9.94,9.76,0,3.83,6.9725,3,0.0252,0.181
41,When should I do laundry today?,"Lebanon, PA",385,washer,2,Single-family,5,0.28,0.18,0.09,12:00 PM,9.94,9.76,8.32,6.37,9.0175,1,0.0252,0.181
41,When should I do laundry today?,"Lebanon, PA",385,washer,2,Single-family,5,0.28,0.18,0.09,4:00 PM,9.65,9.76,6.22,3.83,8.1295,2,0.0504,0.181
42,When should I run my dryer after washing clothes?,"Johnstown, PA",260,dryer,6,Townhouse,3,2.8,0.17,0.09,9:00 AM,7.36,5.41,0.74,3.83,4.824,3,0.252,1.808
42,When should I run my dryer after washing clothes?,"Johnstown, PA",260,dryer,6,Townhouse,3,2.8,0.17,0.09,12:00 PM,7.36,5.41,8.51,8.13,7.023,1,0.252,1.808
42,When should I run my dryer after washing clothes?,"Johnstown, PA",260,dryer,6,Townhouse,3,2.8,0.17,0.09,4:00 PM,4.82,5.41,6.65,3.97,5.265,2,0.476,1.808
43,When should I run my dryer after washing clothes?,"Hazleton, PA",320,dryer,2,Single-family,4,1.2,0.18,0.09,9:00 AM,9,8.17,10,10,9.0595,1,0.108,0.775
43,When should I run my dryer after washing clothes?,"Hazleton, PA",320,dryer,2,Single-family,4,1.2,0.18,0.09,1:00 PM,9,8.17,6.77,6.49,7.887,2,0.108,0.775
43,When should I run my dryer after washing clothes?,"Hazleton, PA",320,dryer,2,Single-family,4,1.2,0.18,0.09,5:00 PM,7.77,8.17,4.57,3.83,6.679,3,0.216,0.775
44,When should I run my dryer after washing clothes?,"Scranton, PA",195,dryer,10,Apartment,2,3.5,0.17,0.08,9:00 AM,7.05,4.2,10,10,7.085,1,0.28,2.26
44,When should I run my dryer after washing clothes?,"Scranton, PA",195,dryer,10,Apartment,2,3.5,0.17,0.08,12:00 PM,7.05,4.2,8.6,6.77,6.3205,2,0.28,2.26
44,When should I run my dryer after washing clothes?,"Scranton, PA",195,dryer,10,Apartment,2,3.5,0.17,0.08,3:00 PM,3.47,4.2,7,4.48,4.583,3,0.595,2.26
