scenario_id,question,location,decision_type,calculator,extraction_failed,gt_calculation_failed,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
16,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",HVAC,HVACGroundTruthCalculator,False,False,75,7.68,7.68,9.32,10.0,2,8.355999999999998
16,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",HVAC,HVACGroundTruthCalculator,False,False,78,8.0,8.0,8.6,10.0,1,8.419999999999998
16,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",HVAC,HVACGroundTruthCalculator,False,False,81,8.33,8.33,6.11,10.0,3,8.136500000000002
17,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",HVAC,HVACGroundTruthCalculator,False,False,66,6.48,6.48,5.13,7.29,3,6.331499999999999
17,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",HVAC,HVACGroundTruthCalculator,False,False,69,6.14,6.14,9.32,7.29,1,6.948499999999999
17,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",HVAC,HVACGroundTruthCalculator,False,False,72,5.8,5.8,8.6,7.29,2,6.583499999999999
18,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",HVAC,HVACGroundTruthCalculator,False,False,78,7.92,7.92,8.6,9.59,1,8.3065
18,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",HVAC,HVACGroundTruthCalculator,False,False,81,8.22,8.22,5.13,9.59,2,7.807499999999999
18,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",HVAC,HVACGroundTruthCalculator,False,False,84,8.51,8.51,1.53,7.29,3,6.930999999999999
19,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",HVAC,HVACGroundTruthCalculator,False,False,65,8.22,8.22,4.06,7.29,3,7.2485
19,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",HVAC,HVACGroundTruthCalculator,False,False,68,7.96,7.96,8.6,7.29,1,7.987499999999999
19,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",HVAC,HVACGroundTruthCalculator,False,False,71,7.7,7.7,9.32,7.29,2,7.9624999999999995
20,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",HVAC,HVACGroundTruthCalculator,False,False,71,3.92,3.92,4.61,9.59,3,4.9085
20,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",HVAC,HVACGroundTruthCalculator,False,False,75,4.47,4.47,9.25,9.59,2,6.193999999999999
20,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",HVAC,HVACGroundTruthCalculator,False,False,79,5.02,5.02,7.59,9.59,1,6.2195
21,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",HVAC,HVACGroundTruthCalculator,False,False,68,8.12,8.12,8.46,7.29,1,8.0635
21,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",HVAC,HVACGroundTruthCalculator,False,False,71,7.85,7.85,9.25,7.29,2,8.046
21,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",HVAC,HVACGroundTruthCalculator,False,False,74,7.58,7.58,6.65,7.29,3,7.350499999999999
22,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",HVAC,HVACGroundTruthCalculator,False,False,75,5.04,5.04,9.18,9.59,2,6.5504999999999995
22,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",HVAC,HVACGroundTruthCalculator,False,False,78,5.48,5.48,8.3,9.59,1,6.660500000000001
22,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",HVAC,HVACGroundTruthCalculator,False,False,81,5.93,5.93,4.06,9.59,3,6.105
23,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",HVAC,HVACGroundTruthCalculator,False,False,66,4.78,4.78,4.28,7.29,3,5.0565
23,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",HVAC,HVACGroundTruthCalculator,False,False,69,4.32,4.32,9.18,7.29,1,5.7375
23,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",HVAC,HVACGroundTruthCalculator,False,False,72,3.86,3.86,8.3,7.29,2,5.2625
24,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",HVAC,HVACGroundTruthCalculator,False,False,76,6.73,6.73,10.0,9.59,1,7.813000000000001
24,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",HVAC,HVACGroundTruthCalculator,False,False,79,7.1,7.1,7.83,10.0,2,7.681
24,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",HVAC,HVACGroundTruthCalculator,False,False,82,7.48,7.48,4.06,10.0,3,7.174
25,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",HVAC,HVACGroundTruthCalculator,False,False,66,5.9,5.9,5.13,7.29,3,5.9544999999999995
25,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",HVAC,HVACGroundTruthCalculator,False,False,69,5.48,5.48,9.32,7.29,1,6.5195
25,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",HVAC,HVACGroundTruthCalculator,False,False,72,5.06,5.06,8.6,7.29,2,6.102499999999999
26,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",HVAC,HVACGroundTruthCalculator,False,False,73,5.33,5.33,7.59,9.59,3,6.420999999999999
26,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",HVAC,HVACGroundTruthCalculator,False,False,76,5.66,5.66,10.0,9.59,1,7.1175
26,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",HVAC,HVACGroundTruthCalculator,False,False,79,6.0,6.0,7.59,9.59,2,6.856499999999999
27,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",HVAC,HVACGroundTruthCalculator,False,False,67,6.99,6.99,5.82,7.29,2,6.800999999999999
27,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",HVAC,HVACGroundTruthCalculator,False,False,70,6.65,6.66,10.0,7.29,1,7.4195
27,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",HVAC,HVACGroundTruthCalculator,False,False,73,6.32,6.32,7.59,7.29,3,6.719499999999999
28,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",HVAC,HVACGroundTruthCalculator,False,False,78,6.4,6.4,8.6,9.59,1,7.3185
28,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",HVAC,HVACGroundTruthCalculator,False,False,81,6.81,6.82,5.13,9.59,2,6.894499999999999
28,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",HVAC,HVACGroundTruthCalculator,False,False,84,7.23,7.23,1.53,7.29,3,6.099
29,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",HVAC,HVACGroundTruthCalculator,False,False,65,5.98,5.98,4.06,7.29,3,5.7924999999999995
29,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",HVAC,HVACGroundTruthCalculator,False,False,68,5.25,5.55,8.6,7.29,1,6.3309999999999995
29,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",HVAC,HVACGroundTruthCalculator,False,False,71,4.09,5.11,9.32,7.29,2,5.973
30,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",HVAC,HVACGroundTruthCalculator,False,False,74,6.8,6.8,8.6,9.59,2,7.5785
30,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",HVAC,HVACGroundTruthCalculator,False,False,77,6.99,6.99,9.32,9.59,1,7.846
30,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",HVAC,HVACGroundTruthCalculator,False,False,80,7.17,7.18,6.11,10.0,3,7.386
31,It's a cold day. What should I set the thermostat to?,"Newtown, PA",HVAC,HVACGroundTruthCalculator,False,False,67,7.73,7.73,6.11,7.29,2,7.34
31,It's a cold day. What should I set the thermostat to?,"Newtown, PA",HVAC,HVACGroundTruthCalculator,False,False,70,7.42,7.42,10.0,7.29,1,7.9165
31,It's a cold day. What should I set the thermostat to?,"Newtown, PA",HVAC,HVACGroundTruthCalculator,False,False,73,7.11,7.11,7.83,7.29,3,7.281
32,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",HVAC,HVACGroundTruthCalculator,False,False,75,5.88,5.88,9.25,9.59,2,7.1105
32,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",HVAC,HVACGroundTruthCalculator,False,False,78,6.33,6.33,8.46,10.0,1,7.3065
32,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",HVAC,HVACGroundTruthCalculator,False,False,81,6.77,6.77,4.61,10.0,3,6.8225
33,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",HVAC,HVACGroundTruthCalculator,False,False,66,5.03,5.03,4.71,7.29,3,5.305
33,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",HVAC,HVACGroundTruthCalculator,False,False,69,4.57,4.57,9.25,7.29,1,5.914
33,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",HVAC,HVACGroundTruthCalculator,False,False,72,4.11,4.11,8.46,7.29,2,5.457
34,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",HVAC,HVACGroundTruthCalculator,False,False,78,6.34,6.35,8.6,9.59,1,7.2829999999999995
34,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",HVAC,HVACGroundTruthCalculator,False,False,81,6.79,6.79,5.13,10.0,2,6.9395
34,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",HVAC,HVACGroundTruthCalculator,False,False,84,7.24,7.24,1.53,7.29,3,6.105499999999999
35,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",HVAC,HVACGroundTruthCalculator,False,False,65,6.15,6.15,4.06,7.29,3,5.903
35,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",HVAC,HVACGroundTruthCalculator,False,False,68,5.71,5.71,8.6,7.29,1,6.5249999999999995
35,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",HVAC,HVACGroundTruthCalculator,False,False,71,4.81,5.28,9.32,7.29,2,6.248499999999999
36,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",HVAC,HVACGroundTruthCalculator,False,False,76,4.0,4.0,10.0,9.59,1,6.038499999999999
36,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",HVAC,HVACGroundTruthCalculator,False,False,79,4.56,4.56,7.83,9.59,2,5.968499999999999
36,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",HVAC,HVACGroundTruthCalculator,False,False,82,5.11,5.11,4.06,10.0,3,5.633500000000001
37,It's cold today and everyone's home. What heating temperature should I use?,"Lebanon, PA",HVAC,HVACGroundTruthCalculator,False,False,66,3.57,3.57,5.13,7.29,2,4.4399999999999995
37,It's cold today and everyone's home. What heating temperature should I use?,"Lebanon, PA",HVAC,HVACGroundTruthCalculator,False,False,69,2.99,2.99,9.32,7.29,1,4.901
37,It's cold today and everyone's home. What heating temperature should I use?,"Lebanon, PA",HVAC,HVACGroundTruthCalculator,False,False,72,2.41,2.41,8.6,7.29,3,4.38
38,It's a hot day. What should I set my air conditioning to?,"Gettysburg, PA",HVAC,HVACGroundTruthCalculator,False,False,74,5.79,5.79,8.3,9.59,3,6.862
38,It's a hot day. What should I set my air conditioning to?,"Gettysburg, PA",HVAC,HVACGroundTruthCalculator,False,False,77,6.22,6.22,9.18,9.59,1,7.317499999999999
38,It's a hot day. What should I set my air conditioning to?,"Gettysburg, PA",HVAC,HVACGroundTruthCalculator,False,False,80,6.64,6.64,5.33,10.0,2,6.882
39,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",HVAC,HVACGroundTruthCalculator,False,False,67,5.76,5.76,5.53,7.29,2,5.943499999999999
39,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",HVAC,HVACGroundTruthCalculator,False,False,70,5.35,5.35,10.0,7.29,1,6.570999999999999
39,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",HVAC,HVACGroundTruthCalculator,False,False,73,4.94,4.94,7.34,7.29,3,5.7725
40,What temperature should I set the AC to overnight?,"Chambersburg, PA",HVAC,HVACGroundTruthCalculator,False,False,75,3.76,3.76,9.25,9.59,2,5.7325
40,What temperature should I set the AC to overnight?,"Chambersburg, PA",HVAC,HVACGroundTruthCalculator,False,False,78,4.31,4.31,8.46,9.59,1,5.932
40,What temperature should I set the AC to overnight?,"Chambersburg, PA",HVAC,HVACGroundTruthCalculator,False,False,81,4.85,4.85,4.61,9.59,3,5.513
41,What temperature should I set the heat to overnight?,"Chambersburg, PA",HVAC,HVACGroundTruthCalculator,False,False,67,2.94,2.94,5.82,7.29,2,4.1685
41,What temperature should I set the heat to overnight?,"Chambersburg, PA",HVAC,HVACGroundTruthCalculator,False,False,70,2.37,2.37,10.0,7.29,1,4.6339999999999995
41,What temperature should I set the heat to overnight?,"Chambersburg, PA",HVAC,HVACGroundTruthCalculator,False,False,73,1.8,1.8,7.59,7.29,3,3.7814999999999994
42,It's hot today and everyone's home. What temperature makes sense for the AC?,"Altoona, PA",HVAC,HVACGroundTruthCalculator,False,False,76,6.77,6.78,10.0,10.0,1,7.904
42,It's hot today and everyone's home. What temperature makes sense for the AC?,"Altoona, PA",HVAC,HVACGroundTruthCalculator,False,False,79,7.22,7.22,7.83,10.0,2,7.7589999999999995
42,It's hot today and everyone's home. What temperature makes sense for the AC?,"Altoona, PA",HVAC,HVACGroundTruthCalculator,False,False,82,7.66,7.67,4.06,10.0,3,7.2945
43,It's cold today and everyone's home. What heating temperature should I use?,"Altoona, PA",HVAC,HVACGroundTruthCalculator,False,False,66,5.21,5.87,5.13,7.29,2,5.736999999999999
43,It's cold today and everyone's home. What heating temperature should I use?,"Altoona, PA",HVAC,HVACGroundTruthCalculator,False,False,69,4.07,5.48,9.32,7.29,1,6.0965
43,It's cold today and everyone's home. What heating temperature should I use?,"Altoona, PA",HVAC,HVACGroundTruthCalculator,False,False,72,3.05,5.08,8.6,7.29,3,5.506499999999999
44,I'm setting the thermostat for bedtime. What AC temperature is best for sleeping?,"Stroudsburg, PA",HVAC,HVACGroundTruthCalculator,False,False,76,5.31,5.31,10.0,9.59,1,6.889999999999999
44,I'm setting the thermostat for bedtime. What AC temperature is best for sleeping?,"Stroudsburg, PA",HVAC,HVACGroundTruthCalculator,False,False,79,5.78,5.78,7.83,9.59,2,6.7615
44,I'm setting the thermostat for bedtime. What AC temperature is best for sleeping?,"Stroudsburg, PA",HVAC,HVACGroundTruthCalculator,False,False,82,6.26,6.26,4.06,10.0,3,6.381
45,I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",HVAC,HVACGroundTruthCalculator,False,False,66,4.77,4.77,5.13,7.29,3,5.219999999999999
45,I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",HVAC,HVACGroundTruthCalculator,False,False,69,4.28,4.28,9.32,7.29,1,5.7395
45,I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",HVAC,HVACGroundTruthCalculator,False,False,72,3.78,3.78,8.6,7.29,2,5.270499999999999
46,"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",HVAC,HVACGroundTruthCalculator,False,False,78,1.72,4.17,8.46,8.72,1,4.9755
46,"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",HVAC,HVACGroundTruthCalculator,False,False,80,2.12,4.49,5.73,9.59,2,4.792
46,"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",HVAC,HVACGroundTruthCalculator,False,False,82,2.73,4.81,3.36,9.59,3,4.6129999999999995
47,It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",HVAC,HVACGroundTruthCalculator,False,False,76,4.43,4.43,10.0,9.59,1,6.318
47,It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",HVAC,HVACGroundTruthCalculator,False,False,78,4.76,4.76,8.6,9.59,2,6.2524999999999995
47,It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",HVAC,HVACGroundTruthCalculator,False,False,80,5.1,5.1,6.11,9.59,3,5.9755
48,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",HVAC,HVACGroundTruthCalculator,False,False,79,2.14,5.35,7.34,9.59,1,5.420999999999999
48,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",HVAC,HVACGroundTruthCalculator,False,False,81,2.6,5.63,4.06,9.59,2,5.0009999999999994
48,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",HVAC,HVACGroundTruthCalculator,False,False,83,3.29,5.92,0.94,8.33,3,4.4965
49,It's hot today and we're home as usual. What temperature should I set the AC to?,"Butler, PA",HVAC,HVACGroundTruthCalculator,False,False,72,4.19,4.19,5.73,9.59,3,5.308
49,It's hot today and we're home as usual. What temperature should I set the AC to?,"Butler, PA",HVAC,HVACGroundTruthCalculator,False,False,75,4.72,4.72,9.25,9.59,2,6.356499999999999
49,It's hot today and we're home as usual. What temperature should I set the AC to?,"Butler, PA",HVAC,HVACGroundTruthCalculator,False,False,78,5.25,5.25,8.46,9.59,1,6.542999999999999
50,The house will be empty for 4 hours today. What AC temperature should I set?,"Coatesville, PA",HVAC,HVACGroundTruthCalculator,False,False,77,4.37,5.0,9.32,9.59,2,6.3635
50,The house will be empty for 4 hours today. What AC temperature should I set?,"Coatesville, PA",HVAC,HVACGroundTruthCalculator,False,False,79,5.2,5.32,7.83,9.59,1,6.426499999999999
50,The house will be empty for 4 hours today. What AC temperature should I set?,"Coatesville, PA",HVAC,HVACGroundTruthCalculator,False,False,81,5.65,5.65,5.13,9.59,3,6.1370000000000005
51,It's a hot day. What should I set my air conditioning to?,"Uniontown, PA",HVAC,HVACGroundTruthCalculator,False,False,78,3.31,3.31,8.46,9.59,1,5.282
51,It's a hot day. What should I set my air conditioning to?,"Uniontown, PA",HVAC,HVACGroundTruthCalculator,False,False,80,3.76,3.76,5.73,9.59,2,5.028499999999999
51,It's a hot day. What should I set my air conditioning to?,"Uniontown, PA",HVAC,HVACGroundTruthCalculator,False,False,82,4.2,4.2,3.36,9.59,3,4.8405000000000005
52,Cold day today with 3 people home. What's a good heating temperature?,"Indiana, PA",HVAC,HVACGroundTruthCalculator,False,False,65,6.69,6.69,4.06,7.29,3,6.254
52,Cold day today with 3 people home. What's a good heating temperature?,"Indiana, PA",HVAC,HVACGroundTruthCalculator,False,False,68,6.35,6.35,8.6,7.29,1,6.940999999999999
52,Cold day today with 3 people home. What's a good heating temperature?,"Indiana, PA",HVAC,HVACGroundTruthCalculator,False,False,71,6.0,6.0,9.32,7.29,2,6.857499999999999
53,It's a hot day. What should I set my air conditioning to?,"Meadville, PA",HVAC,HVACGroundTruthCalculator,False,False,73,4.32,4.32,7.59,9.59,3,5.7645
53,It's a hot day. What should I set my air conditioning to?,"Meadville, PA",HVAC,HVACGroundTruthCalculator,False,False,76,4.72,4.72,10.0,9.59,1,6.506499999999999
53,It's a hot day. What should I set my air conditioning to?,"Meadville, PA",HVAC,HVACGroundTruthCalculator,False,False,79,5.11,5.11,7.59,9.59,2,6.2780000000000005
54,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Greensburg, PA",HVAC,HVACGroundTruthCalculator,False,False,79,4.13,5.63,7.83,9.59,1,6.214
54,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Greensburg, PA",HVAC,HVACGroundTruthCalculator,False,False,81,5.09,5.95,5.13,9.59,2,6.074
54,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Greensburg, PA",HVAC,HVACGroundTruthCalculator,False,False,83,6.13,6.28,2.86,8.33,3,5.8585
